Cellular Components,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count
http://purl.obolibrary.org/obo/GO_0016021,45173,48910
http://purl.obolibrary.org/obo/GO_0016020,66989,74914
http://purl.obolibrary.org/obo/GO_0042597,2358,2240
http://purl.obolibrary.org/obo/GO_0030288,1802,1744
http://purl.obolibrary.org/obo/GO_0005737,9398,10469
http://purl.obolibrary.org/obo/GO_0005622,8870,10139
http://purl.obolibrary.org/obo/GO_0005694,1102,1331
http://purl.obolibrary.org/obo/GO_0000015,1186,1336
http://purl.obolibrary.org/obo/GO_0005839,668,767
http://purl.obolibrary.org/obo/GO_0033178,765,844
http://purl.obolibrary.org/obo/GO_0045261,776,897
http://purl.obolibrary.org/obo/GO_0043190,664,694
http://purl.obolibrary.org/obo/GO_0005615,774,805
http://purl.obolibrary.org/obo/GO_0019867,1229,1489
http://purl.obolibrary.org/obo/GO_0005840,11845,13519
http://purl.obolibrary.org/obo/GO_0009349,396,518
http://purl.obolibrary.org/obo/GO_0019008,345,382
http://purl.obolibrary.org/obo/GO_0009360,826,1002
http://purl.obolibrary.org/obo/GO_0048500,334,366
http://purl.obolibrary.org/obo/GO_0043231,282,301
http://purl.obolibrary.org/obo/GO_0033177,261,261
http://purl.obolibrary.org/obo/GO_0005886,865,873
http://purl.obolibrary.org/obo/GO_0031012,293,333
http://purl.obolibrary.org/obo/GO_0009317,249,301
http://purl.obolibrary.org/obo/GO_0005887,128,166
http://purl.obolibrary.org/obo/GO_0045263,170,207
http://purl.obolibrary.org/obo/GO_0009428,120,119
http://purl.obolibrary.org/obo/GO_0033179,127,139
http://purl.obolibrary.org/obo/GO_0009318,102,131
http://purl.obolibrary.org/obo/GO_0015934,141,168
http://purl.obolibrary.org/obo/GO_0009425,93,110
http://purl.obolibrary.org/obo/GO_0005618,73,102
http://purl.obolibrary.org/obo/GO_0009341,72,80
http://purl.obolibrary.org/obo/GO_0009379,58,56
http://purl.obolibrary.org/obo/GO_0005576,110,117
http://purl.obolibrary.org/obo/GO_0009427,56,56
http://purl.obolibrary.org/obo/GO_0031515,92,74
http://purl.obolibrary.org/obo/GO_0019031,94,61
http://purl.obolibrary.org/obo/GO_0009279,71,62
http://purl.obolibrary.org/obo/GO_0016459,39,19
http://purl.obolibrary.org/obo/GO_0009288,145,116
http://purl.obolibrary.org/obo/GO_0015627,43,49
http://purl.obolibrary.org/obo/GO_0005853,35,42
http://purl.obolibrary.org/obo/GO_0033573,37,42
http://purl.obolibrary.org/obo/GO_0019773,40,50
http://purl.obolibrary.org/obo/GO_0005850,46,51
http://purl.obolibrary.org/obo/GO_0019028,79,116
http://purl.obolibrary.org/obo/GO_0019012,19,60
http://purl.obolibrary.org/obo/GO_0032040,39,24
http://purl.obolibrary.org/obo/GO_0009289,32,27
http://purl.obolibrary.org/obo/GO_0000172,30,34
http://purl.obolibrary.org/obo/GO_0030677,30,34
http://purl.obolibrary.org/obo/GO_0009346,29,30
http://purl.obolibrary.org/obo/GO_0030286,7,11
http://purl.obolibrary.org/obo/GO_0016272,28,29
http://purl.obolibrary.org/obo/GO_0030117,33,8
http://purl.obolibrary.org/obo/GO_0009522,10,1
http://purl.obolibrary.org/obo/GO_0009579,7,0
http://purl.obolibrary.org/obo/GO_0072588,28,37
http://purl.obolibrary.org/obo/GO_0005777,9,6
http://purl.obolibrary.org/obo/GO_0009295,10,8
http://purl.obolibrary.org/obo/GO_0009521,1,0
http://purl.obolibrary.org/obo/GO_0005882,2,2
http://purl.obolibrary.org/obo/GO_0009424,1,2
http://purl.obolibrary.org/obo/GO_0005634,289,60
http://purl.obolibrary.org/obo/GO_0005727,8,11
http://purl.obolibrary.org/obo/GO_0030127,6,2
http://purl.obolibrary.org/obo/GO_0000159,0,4
http://purl.obolibrary.org/obo/GO_0005783,14,8
http://purl.obolibrary.org/obo/GO_0005794,1,5
http://purl.obolibrary.org/obo/GO_0005921,2,4
http://purl.obolibrary.org/obo/GO_0005875,0,1
http://purl.obolibrary.org/obo/GO_0000148,5,1
http://purl.obolibrary.org/obo/GO_0030700,2,3
http://purl.obolibrary.org/obo/GO_0005789,19,3
http://purl.obolibrary.org/obo/GO_0031361,1,0
http://purl.obolibrary.org/obo/GO_0030126,5,1
http://purl.obolibrary.org/obo/GO_0017119,4,0
http://purl.obolibrary.org/obo/GO_0005940,0,0
http://purl.obolibrary.org/obo/GO_0008290,2,0
http://purl.obolibrary.org/obo/GO_0032039,0,0
http://purl.obolibrary.org/obo/GO_0005732,3,0
http://purl.obolibrary.org/obo/GO_0034457,3,0
http://purl.obolibrary.org/obo/GO_0005856,0,0
http://purl.obolibrary.org/obo/GO_0005741,2,0
http://purl.obolibrary.org/obo/GO_0009523,4,0
http://purl.obolibrary.org/obo/GO_0009539,2,0
http://purl.obolibrary.org/obo/GO_0009538,2,1
http://purl.obolibrary.org/obo/GO_0005681,2,1
http://purl.obolibrary.org/obo/GO_0000922,5,1
http://purl.obolibrary.org/obo/GO_0005815,7,1
http://purl.obolibrary.org/obo/GO_0005742,6,0
