Cellular Components,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
http://purl.obolibrary.org/obo/GO_0019028,44215,40371,37223,51481
http://purl.obolibrary.org/obo/GO_0009521,11083,6510,8518,8970
http://purl.obolibrary.org/obo/GO_0016020,53266,34360,47709,37892
http://purl.obolibrary.org/obo/GO_0009522,11435,6798,8351,8425
http://purl.obolibrary.org/obo/GO_0009579,9985,6463,7165,7453
http://purl.obolibrary.org/obo/GO_0016021,36897,27237,28731,27567
http://purl.obolibrary.org/obo/GO_0046729,5715,5222,4759,6626
http://purl.obolibrary.org/obo/GO_0005737,6814,4113,4589,3007
http://purl.obolibrary.org/obo/GO_0033178,2799,1516,1879,1659
http://purl.obolibrary.org/obo/GO_0030288,2899,1804,3100,1796
http://purl.obolibrary.org/obo/GO_0033177,1910,895,1475,1548
http://purl.obolibrary.org/obo/GO_0005622,22727,11431,16309,10929
http://purl.obolibrary.org/obo/GO_0005840,37326,17307,26709,16772
http://purl.obolibrary.org/obo/GO_0045263,1648,804,1024,855
http://purl.obolibrary.org/obo/GO_0016459,2002,1996,783,1124
http://purl.obolibrary.org/obo/GO_0045261,1916,1036,1306,1057
http://purl.obolibrary.org/obo/GO_0030089,1328,421,1997,1653
http://purl.obolibrary.org/obo/GO_0005839,984,687,606,603
http://purl.obolibrary.org/obo/GO_0000015,1086,954,761,703
http://purl.obolibrary.org/obo/GO_0009523,2568,1120,1755,1794
http://purl.obolibrary.org/obo/GO_0005615,890,715,911,578
http://purl.obolibrary.org/obo/GO_0009538,1390,322,1105,896
http://purl.obolibrary.org/obo/GO_0005783,608,593,298,420
http://purl.obolibrary.org/obo/GO_0030117,549,532,358,419
http://purl.obolibrary.org/obo/GO_0005694,594,328,505,282
http://purl.obolibrary.org/obo/GO_0030286,425,947,298,374
http://purl.obolibrary.org/obo/GO_0009654,544,379,341,368
http://purl.obolibrary.org/obo/GO_0019898,510,376,323,364
http://purl.obolibrary.org/obo/GO_0009539,884,270,656,675
http://purl.obolibrary.org/obo/GO_0005886,439,342,519,378
http://purl.obolibrary.org/obo/GO_0031361,270,160,190,196
