Sample 1 Operational Taxonomic Unit Count,Sample 2 Operational Taxonomic Unit Count,Domain,Phylum,Class,Order,Family,Genus
22,61,Archaea,Thaumarchaeota,Marine Group I,Marine Group I_unclassified,Marine Group I_unclassified,Marine Group I_unclassified
5,4,Archaea,Thaumarchaeota,Marine Group I,Unknown Order,Unknown Family,Unknown Family_unclassified
89,123,Archaea,Thaumarchaeota,Marine Group I,Unknown Order,Unknown Family,Candidatus Nitrosopumilus
3,4,Archaea,Woesearchaeota (DHVEG-6),Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified
12,17,Bacteria,NA_unclassified,NA_unclassified,NA_unclassified,NA_unclassified,NA_unclassified
3,1,Bacteria,Acidobacteria,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified
1,0,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified
1,0,Bacteria,Acidobacteria,Acidobacteria,AT-s3-28,AT-s3-28_unclassified,AT-s3-28_unclassified
11,20,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Subgroup 21_unclassified,Subgroup 21_unclassified
2,5,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,Subgroup 6_unclassified,Subgroup 6_unclassified
3,0,Bacteria,Acidobacteria,Acidobacteria,Subgroup 9,Subgroup 9_unclassified,Subgroup 9_unclassified
2,1,Bacteria,Acidobacteria,Holophagae,Subgroup 10,Subgroup 10_unclassified,Subgroup 10_unclassified
2,1,Bacteria,Acidobacteria,Holophagae,Subgroup 10,NS72,NS72_unclassified
1,8,Bacteria,Acidobacteria,Holophagae,Subgroup 10,Sva0725,Sva0725_unclassified
21,27,Bacteria,Acidobacteria,Subgroup 22,Subgroup 22_unclassified,Subgroup 22_unclassified,Subgroup 22_unclassified
1,2,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_unclassified,Acidimicrobiales_unclassified
2,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobiaceae_unclassified
2,3,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Illumatobacter
26,61,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,OM1 clade_unclassified
2,9,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,Sva0996 marine group_unclassified
1,0,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
1,0,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
5,4,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
1,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
1,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Marinifilum
1,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla
7,2,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae_unclassified
1,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter
1,4,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella
9,8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,NA
2,10,Bacteria,Bacteroidetes,Cytophagia,Order II,Rhodothermaceae,NA
1,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified
5,1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia
10,7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified
2,8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquibacter
1,1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
1,3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gilvibacter
2,1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter
1,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter
1,2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NA
8,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia
1,0,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella
1,2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,PHOS-HE51,PHOS-HE51_unclassified
1,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified
3,3,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Portibacter
1,0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,NA
6,14,Bacteria,Candidate division OP3,Candidate division OP3_unclassified,Candidate division OP3_unclassified,Candidate division OP3_unclassified,Candidate division OP3_unclassified
1,0,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Parachlamydiaceae_unclassified
1,0,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,Simkaniaceae_unclassified
1,0,Bacteria,Chlorobi,Chlorobia,Chlorobiales,OPB56,OPB56_unclassified
3,3,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,PHOS-HE36,PHOS-HE36_unclassified
1,5,Bacteria,Chloroflexi,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified
4,2,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
2,2,Bacteria,Chloroflexi,Ardenticatenia,NA,NA_unclassified,NA_unclassified
5,6,Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66_unclassified,JG30-KF-CM66_unclassified,JG30-KF-CM66_unclassified
2,3,Bacteria,Chloroflexi,KD4-96,KD4-96_unclassified,KD4-96_unclassified,KD4-96_unclassified
5,5,Bacteria,Chloroflexi,S085,S085_unclassified,S085_unclassified,S085_unclassified
17,21,Bacteria,Chloroflexi,SAR202 clade,SAR202 clade_unclassified,SAR202 clade_unclassified,SAR202 clade_unclassified
12,10,Bacteria,Cyanobacteria,Chloroplast,Chloroplast_unclassified,Chloroplast_unclassified,Chloroplast_unclassified
1,3,Bacteria,Deferribacteres,Deferribacteres Incertae Sedis,Unknown Order,Unknown Family,Caldithrix
1,1,Bacteria,Elusimicrobia,Elusimicrobia,Lineage IIb,Lineage IIb_unclassified,Lineage IIb_unclassified
1,1,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,NA
1,0,Bacteria,Fibrobacteres,Fibrobacteria,possible order 07,possible order 07_unclassified,possible order 07_unclassified
1,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified
1,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,NA
1,0,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XII,Fusibacter
1,0,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadetes_unclassified,Gemmatimonadetes_unclassified,Gemmatimonadetes_unclassified
22,28,Bacteria,Gemmatimonadetes,Gemmatimonadetes,BD2-11 terrestrial group,BD2-11 terrestrial group_unclassified,BD2-11 terrestrial group_unclassified
5,6,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
1,4,Bacteria,Gemmatimonadetes,Gemmatimonadetes,PAUC43f marine benthic group,PAUC43f marine benthic group_unclassified,PAUC43f marine benthic group_unclassified
2,1,Bacteria,Gracilibacteria,Gracilibacteria_unclassified,Gracilibacteria_unclassified,Gracilibacteria_unclassified,Gracilibacteria_unclassified
1,0,Bacteria,Hyd24-12,Hyd24-12_unclassified,Hyd24-12_unclassified,Hyd24-12_unclassified,Hyd24-12_unclassified
10,8,Bacteria,Hydrogenedentes,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified,Hydrogenedentes_unclassified
5,9,Bacteria,Latescibacteria,Latescibacteria_unclassified,Latescibacteria_unclassified,Latescibacteria_unclassified,Latescibacteria_unclassified
1,0,Bacteria,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified
4,3,Bacteria,Lentisphaerae,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera
3,3,Bacteria,Lentisphaerae,Oligosphaeria,Oligosphaeria_unclassified,Oligosphaeria_unclassified,Oligosphaeria_unclassified
2,0,Bacteria,Lentisphaerae,R76-B128,R76-B128_unclassified,R76-B128_unclassified,R76-B128_unclassified
1,0,Bacteria,Lentisphaerae,SS1-B-03-39,SS1-B-03-39_unclassified,SS1-B-03-39_unclassified,SS1-B-03-39_unclassified
3,0,Bacteria,Lentisphaerae,WCHB1-41,WCHB1-41_unclassified,WCHB1-41_unclassified,WCHB1-41_unclassified
7,6,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
4,1,Bacteria,Omnitrophica,NPL-UPA2,NPL-UPA2_unclassified,NPL-UPA2_unclassified,NPL-UPA2_unclassified
3,3,Bacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified
3,4,Bacteria,PAUC34f,PAUC34f_unclassified,PAUC34f_unclassified,PAUC34f_unclassified,PAUC34f_unclassified
1,1,Bacteria,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified
3,5,Bacteria,Planctomycetes,BD7-11,BD7-11_unclassified,BD7-11_unclassified,BD7-11_unclassified
20,22,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified
3,4,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerae_unclassified,Phycisphaerae_unclassified,Phycisphaerae_unclassified
2,2,Bacteria,Planctomycetes,Phycisphaerae,C86,C86_unclassified,C86_unclassified
6,6,Bacteria,Planctomycetes,Phycisphaerae,CCM11a,CCM11a_unclassified,CCM11a_unclassified
1,0,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,mle1-8_unclassified,mle1-8_unclassified
1,3,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaeraceae_unclassified
2,2,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
1,0,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA
10,8,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group
4,4,Bacteria,Planctomycetes,Phycisphaerae,SHA-43,SHA-43_unclassified,SHA-43_unclassified
2,0,Bacteria,Planctomycetes,Pla3 lineage,Pla3 lineage_unclassified,Pla3 lineage_unclassified,Pla3 lineage_unclassified
5,1,Bacteria,Planctomycetes,Pla4 lineage,Pla4 lineage_unclassified,Pla4 lineage_unclassified,Pla4 lineage_unclassified
10,6,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified
4,4,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
4,5,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4 lineage
4,6,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces
5,2,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Rhodopirellula
2,2,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,NA
3,4,Bacteria,Planctomycetes,vadinHA49,vadinHA49_unclassified,vadinHA49_unclassified,vadinHA49_unclassified
7,13,Bacteria,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified
10,18,Bacteria,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hyphomonas
2,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
2,4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Cohaesibacter
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Nitratireductor
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium
2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA_unclassified
2,2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacteraceae_unclassified
5,5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
4,6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales_unclassified,Rhodospirillales_unclassified
10,10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_unclassified
23,13,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus
3,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospira
2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Pelagibius
26,51,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,NA
2,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_unclassified,Rickettsiales_unclassified
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiales_unclassified,Rickettsiales_unclassified
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA
1,1,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,TK34,TK34_unclassified
1,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales_unclassified,Sphingomonadales_unclassified
3,1,Bacteria,Proteobacteria,Betaproteobacteria,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified,Betaproteobacteria_unclassified
2,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified
2,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderiaceae_unclassified
1,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
7,7,Bacteria,Proteobacteria,Betaproteobacteria,Hydrogenophilales,Hydrogenophilaceae,NA
1,0,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadales_unclassified,Nitrosomonadales_unclassified
3,3,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonadaceae_unclassified
5,6,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas
4,7,Bacteria,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacterales_unclassified,Desulfobacterales_unclassified
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081 sediment group
4,3,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified
2,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus
6,14,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Nitrospinaceae,Nitrospina
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,NA
1,5,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadales_unclassified,Desulfuromonadales_unclassified
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonadaceae_unclassified
1,0,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacteraceae_unclassified
1,1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter
8,4,Bacteria,Proteobacteria,Deltaproteobacteria,GR-WP33-30,GR-WP33-30_unclassified,GR-WP33-30_unclassified
4,1,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified
2,0,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,Blfdi19_unclassified
