Molecular Function,Sample 1 Molecular Function Count,Sample 2 Molecular Function Count
http://purl.obolibrary.org/obo/GO_0005524,132377,162657
http://purl.obolibrary.org/obo/GO_0016887,26827,32992
http://purl.obolibrary.org/obo/GO_0004672,19645,23221
http://purl.obolibrary.org/obo/GO_0008484,18024,19955
http://purl.obolibrary.org/obo/GO_0016491,90495,111284
http://purl.obolibrary.org/obo/GO_0003824,74253,92689
http://purl.obolibrary.org/obo/GO_0005215,24474,29271
http://purl.obolibrary.org/obo/GO_0016787,32180,40068
http://purl.obolibrary.org/obo/GO_0030170,18663,23025
http://purl.obolibrary.org/obo/GO_0008483,7092,8806
http://purl.obolibrary.org/obo/GO_0016849,6829,9837
http://purl.obolibrary.org/obo/GO_0051536,11929,15175
http://purl.obolibrary.org/obo/GO_0005515,22595,28439
http://purl.obolibrary.org/obo/GO_0016705,10101,12266
http://purl.obolibrary.org/obo/GO_0050662,6224,7825
http://purl.obolibrary.org/obo/GO_0016627,11445,13827
http://purl.obolibrary.org/obo/GO_0003677,61267,80753
http://purl.obolibrary.org/obo/GO_0000155,5858,6987
http://purl.obolibrary.org/obo/GO_0008134,4596,5055
http://purl.obolibrary.org/obo/GO_0003676,10744,12937
http://purl.obolibrary.org/obo/GO_0050660,11672,14269
http://purl.obolibrary.org/obo/GO_0000166,19035,24139
http://purl.obolibrary.org/obo/GO_0004812,12265,15579
http://purl.obolibrary.org/obo/GO_0003995,4137,4927
http://purl.obolibrary.org/obo/GO_0005506,8944,10100
http://purl.obolibrary.org/obo/GO_0020037,12053,14062
http://purl.obolibrary.org/obo/GO_0004803,13109,18288
http://purl.obolibrary.org/obo/GO_0003700,13579,16714
http://purl.obolibrary.org/obo/GO_0016987,7638,9518
http://purl.obolibrary.org/obo/GO_0008168,10529,13537
http://purl.obolibrary.org/obo/GO_0016747,6980,8565
http://purl.obolibrary.org/obo/GO_0016779,4523,5727
http://purl.obolibrary.org/obo/GO_0030976,6765,8470
http://purl.obolibrary.org/obo/GO_0003840,2785,3411
http://purl.obolibrary.org/obo/GO_0004252,5965,7416
http://purl.obolibrary.org/obo/GO_0005525,9237,11562
http://purl.obolibrary.org/obo/GO_0015299,2611,3228
