Biological Process,Sample 1 Biological Process Count,Sample 2 Biological Process Count
http://purl.obolibrary.org/obo/GO_0006468,19524,23072
http://purl.obolibrary.org/obo/GO_0008152,116811,142659
http://purl.obolibrary.org/obo/GO_0055085,36426,44430
http://purl.obolibrary.org/obo/GO_0000160,16340,20091
http://purl.obolibrary.org/obo/GO_0006810,47990,58145
http://purl.obolibrary.org/obo/GO_0055114,153847,190574
http://purl.obolibrary.org/obo/GO_0009058,20962,26381
http://purl.obolibrary.org/obo/GO_0009190,6829,9837
http://purl.obolibrary.org/obo/GO_0035556,6830,9840
http://purl.obolibrary.org/obo/GO_0015074,15714,22290
http://purl.obolibrary.org/obo/GO_0006310,9017,13316
http://purl.obolibrary.org/obo/GO_0007165,7855,9535
http://purl.obolibrary.org/obo/GO_0006355,25295,31024
http://purl.obolibrary.org/obo/GO_0006418,13448,17171
http://purl.obolibrary.org/obo/GO_0006313,13145,18339
http://purl.obolibrary.org/obo/GO_0006352,8105,10333
http://purl.obolibrary.org/obo/GO_0006749,2785,3411
http://purl.obolibrary.org/obo/GO_0015031,4387,5774
http://purl.obolibrary.org/obo/GO_0006508,22040,27378
http://purl.obolibrary.org/obo/GO_0006812,4784,5876
http://purl.obolibrary.org/obo/GO_0005975,16491,19754
http://purl.obolibrary.org/obo/GO_0006807,6406,8499
http://purl.obolibrary.org/obo/GO_0009060,2296,2539
http://purl.obolibrary.org/obo/GO_0009116,3022,4053
http://purl.obolibrary.org/obo/GO_0006260,8076,9732
http://purl.obolibrary.org/obo/GO_0007155,1998,2488
http://purl.obolibrary.org/obo/GO_0006529,1849,2315
http://purl.obolibrary.org/obo/GO_0006537,1779,2374
http://purl.obolibrary.org/obo/GO_0015696,1699,2176
http://purl.obolibrary.org/obo/GO_0006265,5112,6193
http://purl.obolibrary.org/obo/GO_0043039,2605,3409
http://purl.obolibrary.org/obo/GO_0006546,1560,2125
http://purl.obolibrary.org/obo/GO_0046854,1521,1968
http://purl.obolibrary.org/obo/GO_0006855,1414,1594
http://purl.obolibrary.org/obo/GO_0015992,2092,2720
http://purl.obolibrary.org/obo/GO_0006351,8595,10864
http://purl.obolibrary.org/obo/GO_0006950,2156,2447
http://purl.obolibrary.org/obo/GO_0006629,3861,4505
http://purl.obolibrary.org/obo/GO_0003333,1348,1666
http://purl.obolibrary.org/obo/GO_0001522,2187,2566
http://purl.obolibrary.org/obo/GO_0009451,2681,3240
http://purl.obolibrary.org/obo/GO_0006419,1279,1648
http://purl.obolibrary.org/obo/GO_0006631,2241,2928
http://purl.obolibrary.org/obo/GO_0016310,3030,3860
http://purl.obolibrary.org/obo/GO_0042558,1202,1640
http://purl.obolibrary.org/obo/GO_0045454,2463,3084
http://purl.obolibrary.org/obo/GO_0051301,1230,1467
http://purl.obolibrary.org/obo/GO_0008299,1682,2113
http://purl.obolibrary.org/obo/GO_0015833,1165,1550
http://purl.obolibrary.org/obo/GO_0006306,1877,2653
http://purl.obolibrary.org/obo/GO_0006284,2067,2698
http://purl.obolibrary.org/obo/GO_0017038,1841,2203
http://purl.obolibrary.org/obo/GO_0000413,1124,1317
http://purl.obolibrary.org/obo/GO_0006457,3665,4539
http://purl.obolibrary.org/obo/GO_0019752,1592,1840
http://purl.obolibrary.org/obo/GO_0006396,3144,3935
http://purl.obolibrary.org/obo/GO_0006520,4955,6313
http://purl.obolibrary.org/obo/GO_0006614,1688,2328
http://purl.obolibrary.org/obo/GO_0006730,1118,1442
http://purl.obolibrary.org/obo/GO_0000105,2834,3617
http://purl.obolibrary.org/obo/GO_0008033,2948,3764
http://purl.obolibrary.org/obo/GO_0006836,993,1159
http://purl.obolibrary.org/obo/GO_0006814,2900,3265
http://purl.obolibrary.org/obo/GO_0032328,991,1136
http://purl.obolibrary.org/obo/GO_0017000,986,1197
http://purl.obolibrary.org/obo/GO_0015948,993,1166
http://purl.obolibrary.org/obo/GO_0000902,958,1172
http://purl.obolibrary.org/obo/GO_0016226,1608,2123
http://purl.obolibrary.org/obo/GO_0006096,5015,6180
http://purl.obolibrary.org/obo/GO_0006835,939,1081
http://purl.obolibrary.org/obo/GO_0019439,985,1158
http://purl.obolibrary.org/obo/GO_0006164,1920,2372
http://purl.obolibrary.org/obo/GO_0009306,1805,2216
http://purl.obolibrary.org/obo/GO_0006464,1566,2126
