Cellular Components,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count
http://purl.obolibrary.org/obo/GO_0016021,48352,59206
http://purl.obolibrary.org/obo/GO_0016020,75203,91887
http://purl.obolibrary.org/obo/GO_0042597,3020,4002
http://purl.obolibrary.org/obo/GO_0030288,1891,2404
http://purl.obolibrary.org/obo/GO_0005737,9489,11891
http://purl.obolibrary.org/obo/GO_0005622,8729,11197
http://purl.obolibrary.org/obo/GO_0005694,1123,1402
http://purl.obolibrary.org/obo/GO_0000015,1189,1467
http://purl.obolibrary.org/obo/GO_0005839,736,1027
http://purl.obolibrary.org/obo/GO_0033178,728,1026
http://purl.obolibrary.org/obo/GO_0045261,819,978
http://purl.obolibrary.org/obo/GO_0043190,802,925
http://purl.obolibrary.org/obo/GO_0005615,864,1017
http://purl.obolibrary.org/obo/GO_0019867,1415,1697
http://purl.obolibrary.org/obo/GO_0005840,11552,14867
http://purl.obolibrary.org/obo/GO_0009349,378,487
http://purl.obolibrary.org/obo/GO_0019008,311,419
http://purl.obolibrary.org/obo/GO_0009360,868,1100
http://purl.obolibrary.org/obo/GO_0048500,302,406
http://purl.obolibrary.org/obo/GO_0043231,274,354
http://purl.obolibrary.org/obo/GO_0033177,257,306
http://purl.obolibrary.org/obo/GO_0005886,796,1025
http://purl.obolibrary.org/obo/GO_0031012,318,403
http://purl.obolibrary.org/obo/GO_0009317,230,316
http://purl.obolibrary.org/obo/GO_0005887,180,199
http://purl.obolibrary.org/obo/GO_0045263,165,215
http://purl.obolibrary.org/obo/GO_0009428,137,157
http://purl.obolibrary.org/obo/GO_0033179,130,206
http://purl.obolibrary.org/obo/GO_0009318,109,137
http://purl.obolibrary.org/obo/GO_0015934,130,198
http://purl.obolibrary.org/obo/GO_0009425,118,138
http://purl.obolibrary.org/obo/GO_0005618,116,125
http://purl.obolibrary.org/obo/GO_0009341,92,106
http://purl.obolibrary.org/obo/GO_0009379,74,76
http://purl.obolibrary.org/obo/GO_0005576,109,158
http://purl.obolibrary.org/obo/GO_0009427,60,75
http://purl.obolibrary.org/obo/GO_0031515,59,142
http://purl.obolibrary.org/obo/GO_0019031,52,64
http://purl.obolibrary.org/obo/GO_0009279,56,67
http://purl.obolibrary.org/obo/GO_0016459,52,46
http://purl.obolibrary.org/obo/GO_0009288,133,164
http://purl.obolibrary.org/obo/GO_0015627,50,72
http://purl.obolibrary.org/obo/GO_0005853,32,50
http://purl.obolibrary.org/obo/GO_0033573,31,36
http://purl.obolibrary.org/obo/GO_0019773,31,72
http://purl.obolibrary.org/obo/GO_0005850,30,63
http://purl.obolibrary.org/obo/GO_0019028,72,72
http://purl.obolibrary.org/obo/GO_0019012,28,20
http://purl.obolibrary.org/obo/GO_0032040,31,29
http://purl.obolibrary.org/obo/GO_0009289,25,34
http://purl.obolibrary.org/obo/GO_0000172,23,46
http://purl.obolibrary.org/obo/GO_0030677,23,46
http://purl.obolibrary.org/obo/GO_0009346,22,32
http://purl.obolibrary.org/obo/GO_0030286,22,10
http://purl.obolibrary.org/obo/GO_0016272,22,36
http://purl.obolibrary.org/obo/GO_0030117,29,9
http://purl.obolibrary.org/obo/GO_0009522,26,2
http://purl.obolibrary.org/obo/GO_0009579,19,2
http://purl.obolibrary.org/obo/GO_0072588,17,41
http://purl.obolibrary.org/obo/GO_0005777,12,13
http://purl.obolibrary.org/obo/GO_0009295,9,1
http://purl.obolibrary.org/obo/GO_0009521,8,1
http://purl.obolibrary.org/obo/GO_0005882,7,3
http://purl.obolibrary.org/obo/GO_0009424,6,4
http://purl.obolibrary.org/obo/GO_0005634,49,41
http://purl.obolibrary.org/obo/GO_0005727,9,9
http://purl.obolibrary.org/obo/GO_0030127,9,0
http://purl.obolibrary.org/obo/GO_0000159,4,2
http://purl.obolibrary.org/obo/GO_0005783,6,8
http://purl.obolibrary.org/obo/GO_0005794,5,7
http://purl.obolibrary.org/obo/GO_0005921,4,9
http://purl.obolibrary.org/obo/GO_0005875,3,0
http://purl.obolibrary.org/obo/GO_0000148,3,0
http://purl.obolibrary.org/obo/GO_0030700,3,6
http://purl.obolibrary.org/obo/GO_0005789,4,7
http://purl.obolibrary.org/obo/GO_0031361,2,0
http://purl.obolibrary.org/obo/GO_0030126,4,1
http://purl.obolibrary.org/obo/GO_0017119,2,1
http://purl.obolibrary.org/obo/GO_0005940,2,0
http://purl.obolibrary.org/obo/GO_0008290,2,0
http://purl.obolibrary.org/obo/GO_0032039,2,0
http://purl.obolibrary.org/obo/GO_0005732,2,0
http://purl.obolibrary.org/obo/GO_0034457,2,0
http://purl.obolibrary.org/obo/GO_0005856,2,1
http://purl.obolibrary.org/obo/GO_0005741,2,1
http://purl.obolibrary.org/obo/GO_0009523,15,0
http://purl.obolibrary.org/obo/GO_0009539,8,0
http://purl.obolibrary.org/obo/GO_0009538,4,0
http://purl.obolibrary.org/obo/GO_0005681,4,0
http://purl.obolibrary.org/obo/GO_0000922,2,1
http://purl.obolibrary.org/obo/GO_0005815,2,2
http://purl.obolibrary.org/obo/GO_0005742,2,5
http://purl.obolibrary.org/obo/GO_0030904,2,2
http://purl.obolibrary.org/obo/GO_0009507,1,1
http://purl.obolibrary.org/obo/GO_0030131,1,3
http://purl.obolibrary.org/obo/GO_0005885,1,0
http://purl.obolibrary.org/obo/GO_0015629,1,0
http://purl.obolibrary.org/obo/GO_0005740,1,0
http://purl.obolibrary.org/obo/GO_0005956,1,0
http://purl.obolibrary.org/obo/GO_0005581,1,3
http://purl.obolibrary.org/obo/GO_0005739,3,1
http://purl.obolibrary.org/obo/GO_0008250,1,0
http://purl.obolibrary.org/obo/GO_0034464,1,0
http://purl.obolibrary.org/obo/GO_0071203,2,0
http://purl.obolibrary.org/obo/GO_0005667,1,1
http://purl.obolibrary.org/obo/GO_0005852,1,2
http://purl.obolibrary.org/obo/GO_0005643,3,0
http://purl.obolibrary.org/obo/GO_0000785,1,1
http://purl.obolibrary.org/obo/GO_0030991,1,0
http://purl.obolibrary.org/obo/GO_0016592,2,1
http://purl.obolibrary.org/obo/GO_0005743,1,0
http://purl.obolibrary.org/obo/GO_0009654,2,0
