Identification,Site,Sea Ice Type,Ice Or Snow Depth,Minimum Ice Or Snow Depth,Maximum Ice Or Snow Depth,Chlorophyll A Concentration ,Areal Chlorophyll A,Salinity,Texture,Sea Ice Type Portion
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.05,0,0.1,0.111,0.0111,8.1228,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.15,0.1,0.2,0.0603,0.006,5.2224,mixed,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.25,0.2,0.3,0.0927,0.0093,4.1,mixed,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.35,0.3,0.4,0.0746,0.0075,4.1078,mixed,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.45,0.4,0.5,0.0716,0.0072,4.366,mixed,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.55,0.5,0.6,0.0608,0.0061,4.5736,mixed,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.65,0.6,0.7,0.0522,0.0052,4.0037,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.75,0.7,0.8,0.0619,0.0062,3.4163,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.85,0.8,0.9,0.074,0.0074,3.4834,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,0.95,0.9,1,0.0627,0.0063,3.3994,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.05,1,1.1,0.0518,0.0052,4.1459,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.15,1.1,1.2,0.1064,0.0106,4.814,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.25,1.2,1.3,0.479,0.0479,4.4271,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.35,1.3,1.4,0.3418,0.0342,4.3323,granular,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.45,1.4,1.5,0.2747,0.0275,4.8663,columnar,first-year sea ice (FYI)
2_11,2,http://purl.obolibrary.org/obo/ENVO_03000071,1.55,1.5,1.6,0.2315,0.0232,5.5357,columnar,first-year sea ice (FYI)
