Sample 1 Operational Taxonomic Unit Count,Sample 2 Operational Taxonomic Unit Count,Domain,Phylum,Class,Order,Family,Genus
18,2,Archaea,Thaumarchaeota,Marine Group I,Marine Group I_unclassified,Marine Group I_unclassified,Marine Group I_unclassified
5,4,Archaea,Thaumarchaeota,Marine Group I,Unknown Order,Unknown Family,Unknown Family_unclassified
91,104,Archaea,Thaumarchaeota,Marine Group I,Unknown Order,Unknown Family,Candidatus Nitrosopumilus
3,13,Archaea,Woesearchaeota (DHVEG-6),Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified,Woesearchaeota (DHVEG-6)_unclassified
9,10,Bacteria,NA_unclassified,NA_unclassified,NA_unclassified,NA_unclassified,NA_unclassified
2,6,Bacteria,Acidobacteria,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified
4,1,Bacteria,Acidobacteria,Acidobacteria,Acidobacteria_unclassified,Acidobacteria_unclassified,Acidobacteria_unclassified
0,4,Bacteria,Acidobacteria,Acidobacteria,AT-s3-28,AT-s3-28_unclassified,AT-s3-28_unclassified
8,7,Bacteria,Acidobacteria,Acidobacteria,Subgroup 21,Subgroup 21_unclassified,Subgroup 21_unclassified
1,0,Bacteria,Acidobacteria,Acidobacteria,Subgroup 6,Subgroup 6_unclassified,Subgroup 6_unclassified
2,1,Bacteria,Acidobacteria,Acidobacteria,Subgroup 9,Subgroup 9_unclassified,Subgroup 9_unclassified
3,0,Bacteria,Acidobacteria,Holophagae,Subgroup 10,Subgroup 10_unclassified,Subgroup 10_unclassified
0,0,Bacteria,Acidobacteria,Holophagae,Subgroup 10,NS72,NS72_unclassified
10,0,Bacteria,Acidobacteria,Holophagae,Subgroup 10,Sva0725,Sva0725_unclassified
19,34,Bacteria,Acidobacteria,Subgroup 22,Subgroup 22_unclassified,Subgroup 22_unclassified,Subgroup 22_unclassified
2,2,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales_unclassified,Acidimicrobiales_unclassified
0,0,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobiaceae_unclassified
1,3,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Illumatobacter
78,40,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,OM1 clade_unclassified
12,5,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,Sva0996 marine group_unclassified
1,1,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
3,0,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacterales_unclassified,Solirubrobacterales_unclassified
2,2,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified
0,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
2,0,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Marinifilum
0,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Microscilla
2,7,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae_unclassified
0,0,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter
3,5,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Reichenbachiella
15,26,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,NA
7,4,Bacteria,Bacteroidetes,Cytophagia,Order II,Rhodothermaceae,NA
