Molecular Function,Sample 1 Molecular Function Count,Sample 2 Molecular Function Count
http://purl.obolibrary.org/obo/GO_0005524,121192,139738
http://purl.obolibrary.org/obo/GO_0016887,24968,27494
http://purl.obolibrary.org/obo/GO_0004672,14376,15418
http://purl.obolibrary.org/obo/GO_0008484,11963,14321
http://purl.obolibrary.org/obo/GO_0016491,80492,88869
http://purl.obolibrary.org/obo/GO_0003824,67600,75167
http://purl.obolibrary.org/obo/GO_0005215,20705,22750
http://purl.obolibrary.org/obo/GO_0016787,28721,32656
http://purl.obolibrary.org/obo/GO_0030170,17477,18889
http://purl.obolibrary.org/obo/GO_0008483,6681,7367
http://purl.obolibrary.org/obo/GO_0016849,6369,5220
http://purl.obolibrary.org/obo/GO_0051536,11154,12477
http://purl.obolibrary.org/obo/GO_0005515,19544,19615
http://purl.obolibrary.org/obo/GO_0016705,8902,9980
http://purl.obolibrary.org/obo/GO_0050662,5631,6568
http://purl.obolibrary.org/obo/GO_0016627,10110,11572
http://purl.obolibrary.org/obo/GO_0003677,62233,74025
http://purl.obolibrary.org/obo/GO_0000155,5074,5364
http://purl.obolibrary.org/obo/GO_0008134,3577,4136
http://purl.obolibrary.org/obo/GO_0003676,10129,11578
http://purl.obolibrary.org/obo/GO_0050660,10359,11861
http://purl.obolibrary.org/obo/GO_0000166,18779,21663
http://purl.obolibrary.org/obo/GO_0004812,12140,14178
http://purl.obolibrary.org/obo/GO_0003995,3605,4176
http://purl.obolibrary.org/obo/GO_0005506,7161,8522
http://purl.obolibrary.org/obo/GO_0020037,10021,11520
http://purl.obolibrary.org/obo/GO_0004803,14796,20179
http://purl.obolibrary.org/obo/GO_0003700,12546,12844
http://purl.obolibrary.org/obo/GO_0016987,7130,7299
http://purl.obolibrary.org/obo/GO_0008168,9941,10815
http://purl.obolibrary.org/obo/GO_0016747,6405,7333
http://purl.obolibrary.org/obo/GO_0016779,4508,5086
http://purl.obolibrary.org/obo/GO_0030976,6299,6736
http://purl.obolibrary.org/obo/GO_0003840,2453,2746
http://purl.obolibrary.org/obo/GO_0004252,5525,6127
http://purl.obolibrary.org/obo/GO_0005525,9262,10563
http://purl.obolibrary.org/obo/GO_0015299,2260,2303
http://purl.obolibrary.org/obo/GO_0071949,2129,2359
http://purl.obolibrary.org/obo/GO_0016901,2199,2602
http://purl.obolibrary.org/obo/GO_0048038,3191,3563
http://purl.obolibrary.org/obo/GO_0016209,2480,2675
http://purl.obolibrary.org/obo/GO_0016616,7848,8632
http://purl.obolibrary.org/obo/GO_0051287,10528,11548
http://purl.obolibrary.org/obo/GO_0016810,3150,3475
