Molecular Function,Sample 1 Molecular Function Count,Sample 2 Molecular Function Count,Sample 3 Molecular Function Count,Sample 4 Molecular Function Count
http://purl.obolibrary.org/obo/GO_0045156,120776,81635,94818,111290
http://purl.obolibrary.org/obo/GO_0005198,27052,24415,23123,30544
http://purl.obolibrary.org/obo/GO_0000287,20681,14182,15328,15396
http://purl.obolibrary.org/obo/GO_0005524,76621,53430,59716,45356
http://purl.obolibrary.org/obo/GO_0016168,11083,6510,8518,8970
http://purl.obolibrary.org/obo/GO_0016887,11648,8665,10811,8531
http://purl.obolibrary.org/obo/GO_0004672,8127,8042,6431,6145
http://purl.obolibrary.org/obo/GO_0004129,7923,6728,4958,7213
http://purl.obolibrary.org/obo/GO_0005506,8916,7107,5998,7169
http://purl.obolibrary.org/obo/GO_0009055,15983,12017,11397,13173
http://purl.obolibrary.org/obo/GO_0020037,13350,11542,9393,11201
http://purl.obolibrary.org/obo/GO_0016984,6623,4425,5160,5542
http://purl.obolibrary.org/obo/GO_0003924,5199,7618,3208,4506
http://purl.obolibrary.org/obo/GO_0016491,39589,32532,34941,30383
http://purl.obolibrary.org/obo/GO_0003677,39913,24017,36171,24288
http://purl.obolibrary.org/obo/GO_0003824,22953,17132,21444,15600
http://purl.obolibrary.org/obo/GO_0005525,10941,7411,7777,6074
http://purl.obolibrary.org/obo/GO_0003676,10928,7030,8535,5953
http://purl.obolibrary.org/obo/GO_0008519,3662,1408,5803,2415
http://purl.obolibrary.org/obo/GO_0008484,3155,2216,3327,1977
http://purl.obolibrary.org/obo/GO_0005515,16294,15810,11980,12644
http://purl.obolibrary.org/obo/GO_0003723,11447,7292,9683,7099
http://purl.obolibrary.org/obo/GO_0003968,3441,2742,3153,3038
http://purl.obolibrary.org/obo/GO_0016820,2776,1545,1907,1643
http://purl.obolibrary.org/obo/GO_0003700,8034,5177,7116,5114
http://purl.obolibrary.org/obo/GO_0016987,5988,3533,5319,3763
http://purl.obolibrary.org/obo/GO_0004872,5094,2423,4342,2434
http://purl.obolibrary.org/obo/GO_0005215,8586,6290,8576,5659
http://purl.obolibrary.org/obo/GO_0051082,3255,2963,1502,1750
http://purl.obolibrary.org/obo/GO_0005507,5478,2697,4942,3831
http://purl.obolibrary.org/obo/GO_0030170,5108,3987,4893,3825
http://purl.obolibrary.org/obo/GO_0051536,6866,5010,6202,4677
http://purl.obolibrary.org/obo/GO_0015002,2161,1106,1457,1836
http://purl.obolibrary.org/obo/GO_0003899,11632,3518,10120,3525
http://purl.obolibrary.org/obo/GO_0015078,5938,3014,4096,4079
http://purl.obolibrary.org/obo/GO_0004013,1970,1253,1404,1101
http://purl.obolibrary.org/obo/GO_0050662,2111,1350,1998,1317
http://purl.obolibrary.org/obo/GO_0003735,38473,17703,27596,17302
http://purl.obolibrary.org/obo/GO_0005509,7582,7048,6079,5755
http://purl.obolibrary.org/obo/GO_0016209,1969,929,1781,1042
http://purl.obolibrary.org/obo/GO_0004252,3755,2943,3404,2931
http://purl.obolibrary.org/obo/GO_0004427,1938,1233,1590,1200
http://purl.obolibrary.org/obo/GO_0009678,1746,1088,1458,1090
http://purl.obolibrary.org/obo/GO_0008234,1715,2370,1119,1451
http://purl.obolibrary.org/obo/GO_0008483,1629,1213,1584,1136
http://purl.obolibrary.org/obo/GO_0004356,2020,1096,1742,839
http://purl.obolibrary.org/obo/GO_0016620,3401,2695,2501,2310
http://purl.obolibrary.org/obo/GO_0003755,1378,940,997,833
http://purl.obolibrary.org/obo/GO_0000166,6438,4525,5699,3848
http://purl.obolibrary.org/obo/GO_0004812,4018,2504,3538,2219
http://purl.obolibrary.org/obo/GO_0016747,2886,2198,2459,2105
http://purl.obolibrary.org/obo/GO_0016787,6632,5223,7055,4878
http://purl.obolibrary.org/obo/GO_0016627,2606,2149,2629,2085
http://purl.obolibrary.org/obo/GO_0019843,3015,1156,2159,1186
http://purl.obolibrary.org/obo/GO_0030976,2275,1693,2048,1536
http://purl.obolibrary.org/obo/GO_0004222,3495,2188,2970,1941
http://purl.obolibrary.org/obo/GO_0008134,1166,1056,1246,948
http://purl.obolibrary.org/obo/GO_0016616,3285,2332,2844,2063
http://purl.obolibrary.org/obo/GO_0016779,1408,887,1433,860
http://purl.obolibrary.org/obo/GO_0016705,1683,1100,1555,1049
http://purl.obolibrary.org/obo/GO_0003774,2099,2051,872,1176
http://purl.obolibrary.org/obo/GO_0046912,1040,931,898,882
http://purl.obolibrary.org/obo/GO_0046933,2703,1430,1832,1471
http://purl.obolibrary.org/obo/GO_0046961,2028,1084,1366,1150
http://purl.obolibrary.org/obo/GO_0004298,984,687,606,603
http://purl.obolibrary.org/obo/GO_0046983,2202,967,2040,949
http://purl.obolibrary.org/obo/GO_0008270,4340,3124,3668,2888
http://purl.obolibrary.org/obo/GO_0016832,980,582,742,566
http://purl.obolibrary.org/obo/GO_0004601,963,654,769,627
http://purl.obolibrary.org/obo/GO_0016651,1134,640,921,715
http://purl.obolibrary.org/obo/GO_0048038,1749,915,1546,1005
http://purl.obolibrary.org/obo/GO_0051287,3706,2539,3399,2355
http://purl.obolibrary.org/obo/GO_0046872,7226,4566,6079,4556
http://purl.obolibrary.org/obo/GO_0003995,935,763,830,742
http://purl.obolibrary.org/obo/GO_0008565,1344,652,1323,779
http://purl.obolibrary.org/obo/GO_0050660,2551,1971,2555,1776
http://purl.obolibrary.org/obo/GO_0000155,1032,941,1193,774
http://purl.obolibrary.org/obo/GO_0004618,856,547,634,554
http://purl.obolibrary.org/obo/GO_0016624,833,635,770,578
http://purl.obolibrary.org/obo/GO_0004784,1472,400,1225,596
http://purl.obolibrary.org/obo/GO_0016301,1722,1641,1207,1414
http://purl.obolibrary.org/obo/GO_0004611,810,713,305,483
http://purl.obolibrary.org/obo/GO_0016901,795,366,818,448
http://purl.obolibrary.org/obo/GO_0004176,1368,859,1037,702
http://purl.obolibrary.org/obo/GO_0008199,834,886,543,444
http://purl.obolibrary.org/obo/GO_0016849,760,670,797,608
http://purl.obolibrary.org/obo/GO_0004634,1086,954,761,703
http://purl.obolibrary.org/obo/GO_0003746,1081,554,786,490
http://purl.obolibrary.org/obo/GO_0004612,749,814,511,748
http://purl.obolibrary.org/obo/GO_0016772,1479,1544,1118,1330
http://purl.obolibrary.org/obo/GO_0004451,711,560,422,492
http://purl.obolibrary.org/obo/GO_0003743,1466,839,1103,684
http://purl.obolibrary.org/obo/GO_0004807,667,436,467,371
http://purl.obolibrary.org/obo/GO_0051537,875,594,849,696
http://purl.obolibrary.org/obo/GO_0003918,1179,716,995,681
http://purl.obolibrary.org/obo/GO_0016866,641,453,549,450
http://purl.obolibrary.org/obo/GO_0031419,1247,971,1117,876
http://purl.obolibrary.org/obo/GO_0008168,2416,2023,2320,1807
http://purl.obolibrary.org/obo/GO_0008236,1301,821,1277,816
http://purl.obolibrary.org/obo/GO_0071949,622,366,519,388
http://purl.obolibrary.org/obo/GO_0004375,609,457,571,344
http://purl.obolibrary.org/obo/GO_0003777,1020,1672,736,913
http://purl.obolibrary.org/obo/GO_0008017,602,740,446,545
http://purl.obolibrary.org/obo/GO_0016746,1128,888,986,794
http://purl.obolibrary.org/obo/GO_0015930,777,388,618,366
http://purl.obolibrary.org/obo/GO_0016638,614,329,501,284
http://purl.obolibrary.org/obo/GO_0030151,695,930,725,892
http://purl.obolibrary.org/obo/GO_0003916,1101,522,953,477
http://purl.obolibrary.org/obo/GO_0030234,579,200,702,262
http://purl.obolibrary.org/obo/GO_0015299,571,475,556,429
http://purl.obolibrary.org/obo/GO_0016740,1280,912,1137,721
http://purl.obolibrary.org/obo/GO_0008184,555,461,441,334
http://purl.obolibrary.org/obo/GO_0016903,570,685,505,670
http://purl.obolibrary.org/obo/GO_0004803,1572,1477,1615,1193
http://purl.obolibrary.org/obo/GO_0003697,1065,540,978,597
http://purl.obolibrary.org/obo/GO_0003872,532,469,461,404
http://purl.obolibrary.org/obo/GO_0008137,1166,638,985,781
http://purl.obolibrary.org/obo/GO_0042626,670,573,661,512
http://purl.obolibrary.org/obo/GO_0008750,506,352,467,348
http://purl.obolibrary.org/obo/GO_0050661,1254,851,1027,763
http://purl.obolibrary.org/obo/GO_0016625,803,789,780,651
http://purl.obolibrary.org/obo/GO_0016765,728,412,618,352
http://purl.obolibrary.org/obo/GO_0004332,501,640,315,476
http://purl.obolibrary.org/obo/GO_0004019,494,257,409,280
http://purl.obolibrary.org/obo/GO_0004813,487,278,378,240
http://purl.obolibrary.org/obo/GO_0016876,613,424,606,309
http://purl.obolibrary.org/obo/GO_0004478,1367,1022,1079,887
http://purl.obolibrary.org/obo/GO_0016810,723,575,757,518
http://purl.obolibrary.org/obo/GO_0036459,471,532,294,345
http://purl.obolibrary.org/obo/GO_0003857,844,710,688,640
http://purl.obolibrary.org/obo/GO_0004329,467,460,352,288
http://purl.obolibrary.org/obo/GO_0008641,463,429,409,322
http://purl.obolibrary.org/obo/GO_0008113,440,206,436,238
http://purl.obolibrary.org/obo/GO_0000774,437,227,252,159
http://purl.obolibrary.org/obo/GO_0042803,451,237,263,165
http://purl.obolibrary.org/obo/GO_0051087,442,230,252,166
http://purl.obolibrary.org/obo/GO_0016151,643,822,457,899
http://purl.obolibrary.org/obo/GO_0008658,540,415,564,345
http://purl.obolibrary.org/obo/GO_0004550,433,311,285,233
http://purl.obolibrary.org/obo/GO_0016829,1732,1264,1691,1324
http://purl.obolibrary.org/obo/GO_0004743,429,391,340,286
http://purl.obolibrary.org/obo/GO_0030955,429,391,340,286
http://purl.obolibrary.org/obo/GO_0004450,427,235,341,227
http://purl.obolibrary.org/obo/GO_0008759,420,204,415,242
http://purl.obolibrary.org/obo/GO_0004616,617,336,526,381
http://purl.obolibrary.org/obo/GO_0005216,790,546,822,536
http://purl.obolibrary.org/obo/GO_0004781,405,314,262,195
http://purl.obolibrary.org/obo/GO_0043565,1379,1264,1434,1208
http://purl.obolibrary.org/obo/GO_0005315,404,509,247,553
http://purl.obolibrary.org/obo/GO_0003840,397,362,508,362
http://purl.obolibrary.org/obo/GO_0004066,380,313,359,258
http://purl.obolibrary.org/obo/GO_0022857,380,352,264,304
http://purl.obolibrary.org/obo/GO_0010181,926,849,952,712
http://purl.obolibrary.org/obo/GO_0004055,373,186,264,155
http://purl.obolibrary.org/obo/GO_0004871,1386,1333,1235,986
http://purl.obolibrary.org/obo/GO_0019001,372,410,224,319
http://purl.obolibrary.org/obo/GO_0031683,372,410,224,319
http://purl.obolibrary.org/obo/GO_0004185,410,340,272,301
http://purl.obolibrary.org/obo/GO_0030246,597,383,575,368
http://purl.obolibrary.org/obo/GO_0004519,801,398,628,417
http://purl.obolibrary.org/obo/GO_0016614,520,431,597,393
http://purl.obolibrary.org/obo/GO_0008237,678,495,675,481
http://purl.obolibrary.org/obo/GO_0004455,354,139,261,141
http://purl.obolibrary.org/obo/GO_0003883,353,190,277,176
http://purl.obolibrary.org/obo/GO_0008080,591,525,548,434
http://purl.obolibrary.org/obo/GO_0017025,333,128,226,143
http://purl.obolibrary.org/obo/GO_0004020,319,204,286,150
http://purl.obolibrary.org/obo/GO_0004347,322,262,268,204
http://purl.obolibrary.org/obo/GO_0003942,317,167,263,143
http://purl.obolibrary.org/obo/GO_0004659,316,225,300,239
http://purl.obolibrary.org/obo/GO_0015116,314,235,249,202
http://purl.obolibrary.org/obo/GO_0016831,591,438,512,450
http://purl.obolibrary.org/obo/GO_0004177,487,350,475,282
http://purl.obolibrary.org/obo/GO_0004853,304,269,244,210
http://purl.obolibrary.org/obo/GO_0004749,301,140,207,101
http://purl.obolibrary.org/obo/GO_0033743,301,138,294,163
http://purl.obolibrary.org/obo/GO_0004045,315,174,237,120
http://purl.obolibrary.org/obo/GO_0004474,296,268,252,299
http://purl.obolibrary.org/obo/GO_0018580,295,244,272,201
http://purl.obolibrary.org/obo/GO_0017150,290,172,226,169
http://purl.obolibrary.org/obo/GO_0015035,481,285,441,256
http://purl.obolibrary.org/obo/GO_0004489,287,274,243,194
http://purl.obolibrary.org/obo/GO_0042132,407,325,335,335
http://purl.obolibrary.org/obo/GO_0042578,312,283,217,291
http://purl.obolibrary.org/obo/GO_0004181,329,349,309,256
http://purl.obolibrary.org/obo/GO_0008987,281,130,220,155
http://purl.obolibrary.org/obo/GO_0051539,776,488,755,480
http://purl.obolibrary.org/obo/GO_0051745,275,114,192,135
http://purl.obolibrary.org/obo/GO_0048037,444,290,396,290
http://purl.obolibrary.org/obo/GO_0016857,289,120,224,165
http://purl.obolibrary.org/obo/GO_0016868,674,443,601,392
http://purl.obolibrary.org/obo/GO_0016742,301,214,247,194
http://purl.obolibrary.org/obo/GO_0004748,362,175,318,174
http://purl.obolibrary.org/obo/GO_0015321,267,368,216,295
http://purl.obolibrary.org/obo/GO_0005328,266,325,208,242
http://purl.obolibrary.org/obo/GO_0004719,261,310,254,269
http://purl.obolibrary.org/obo/GO_0003747,261,161,208,127
http://purl.obolibrary.org/obo/GO_0004127,259,141,237,86
http://purl.obolibrary.org/obo/GO_0016149,259,146,273,133
http://purl.obolibrary.org/obo/GO_0015655,258,169,291,153
http://purl.obolibrary.org/obo/GO_0004107,257,124,237,141
http://purl.obolibrary.org/obo/GO_0009982,427,299,429,274
http://purl.obolibrary.org/obo/GO_0008097,243,91,152,86
http://purl.obolibrary.org/obo/GO_0016597,466,301,430,321
http://purl.obolibrary.org/obo/GO_0016743,478,327,408,355
http://purl.obolibrary.org/obo/GO_0009378,316,226,295,197
http://purl.obolibrary.org/obo/GO_0000049,636,418,521,341
http://purl.obolibrary.org/obo/GO_0004399,236,173,226,122
http://purl.obolibrary.org/obo/GO_0051920,371,312,355,358
http://purl.obolibrary.org/obo/GO_0004553,1630,1501,1492,1250
http://purl.obolibrary.org/obo/GO_0008686,221,111,179,112
http://purl.obolibrary.org/obo/GO_0008312,239,140,178,115
http://purl.obolibrary.org/obo/GO_0004197,281,216,278,245
http://purl.obolibrary.org/obo/GO_0042301,217,81,96,145
http://purl.obolibrary.org/obo/GO_0003864,216,127,194,146
http://purl.obolibrary.org/obo/GO_0008661,215,123,246,119
http://purl.obolibrary.org/obo/GO_0046429,214,118,201,120
http://purl.obolibrary.org/obo/GO_0070008,209,143,198,110
http://purl.obolibrary.org/obo/GO_0003678,515,350,390,305
http://purl.obolibrary.org/obo/GO_0004499,206,182,113,98
http://purl.obolibrary.org/obo/GO_0004655,204,132,208,123
http://purl.obolibrary.org/obo/GO_0004842,263,296,150,196
http://purl.obolibrary.org/obo/GO_0004733,202,116,220,130
http://purl.obolibrary.org/obo/GO_0016788,694,490,731,488
http://purl.obolibrary.org/obo/GO_0015450,201,83,123,87
