Date Time,Latitude,Longitude,Snow Height Sensor 1,Snow Height Sensor 2,Snow Height Sensor 3,Snow Height Sensor 4,Snow Height Mean,Atmospheric Pressure,Air Temperature,Ice Temperature
2015-03-02T22:01,82.994,25.4706,0.39,,,0.334,0.362,1013.6,-17.4,-7.2
2015-03-02T23:01,82.9958,25.423,0.38,,,,0.38,1013.2,-17.7,-7.2
2015-03-03T00:01,82.9986,25.3708,0.39,0.35,,,0.37,1012.8,-16.8,-7.2
2015-03-03T01:00,83.0006,25.3196,0.4,,,0.354,0.377,1012.3,-16.3,-7.1
2015-03-03T02:01,83.003,25.2652,0.38,,0.41,0.354,0.381,1011.9,-16.2,-7.1
2015-03-03T03:00,83.0056,25.2106,0.4,0.36,0.41,0.354,0.381,1011.5,-15.5,-7.1
2015-03-03T04:00,83.009,25.1488,0.39,,,0.354,0.372,1010.6,-15,-7
2015-03-03T05:00,83.0122,25.0868,0.4,0.37,0.39,0.374,0.384,1009.7,-14.4,-7
2015-03-03T06:00,83.016,25.02,0.39,0.36,0.39,0.344,0.371,1009.1,-13.8,-7
2015-03-03T07:00,83.0208,24.948,0.39,,0.4,0.354,0.381,1008.8,-12.8,-6.9
2015-03-03T08:00,83.026,24.8808,0.39,0.34,0.4,0.364,0.374,1008.2,-11.8,-6.9
2015-03-03T09:00,83.0322,24.8038,0.36,0.34,0.39,0.354,0.361,1007.4,-11.1,-6.9
2015-03-03T10:00,83.0384,24.7332,0.39,0.35,0.39,0.354,0.371,1006.8,-10.8,-6.8
2015-03-03T11:00,83.0448,24.6664,0.38,0.35,0.39,0.344,0.366,1006.1,-10.7,-6.8
2015-03-03T12:00,83.052,24.6032,0.37,0.33,0.38,0.344,0.356,1005.5,-10.6,-6.7
2015-03-03T13:00,83.0596,24.5408,,0.34,0.4,0.354,0.365,1005,-10.3,-6.7
2015-03-03T14:00,83.0672,24.485,,,0.39,0.344,0.367,1004.4,-10.1,-6.7
2015-03-03T15:00,83.0746,24.4364,0.35,,0.39,0.354,0.365,1003.7,-9.6,-6.6
2015-03-03T16:00,83.082,24.3904,,0.33,0.39,0.354,0.358,1003.4,-9,-6.6
2015-03-03T17:00,83.0892,24.3422,0.37,0.33,0.4,0.354,0.364,1003,-8.8,-6.5
2015-03-03T18:00,83.0954,24.3,0.34,0.33,0.4,0.354,0.356,1002.7,-8.3,-6.5
2015-03-03T19:00,83.101,24.2602,0.37,0.33,0.4,0.354,0.364,1001.7,-7.9,-6.5
2015-03-03T20:00,83.1064,24.218,0.38,0.33,0.4,0.354,0.366,1001.3,-7.4,-6.4
2015-03-03T21:00,83.1112,24.1812,0.39,0.34,0.4,0.354,0.371,1001,-6.7,-6.4
2015-03-03T22:00,83.1158,24.144,0.36,,0.4,0.354,0.371,1000.2,-6.2,-6.3
2015-03-03T23:00,83.1198,24.1158,0.4,,0.4,0.354,0.385,999.6,-5.7,-6.3
2015-03-04T00:00,83.1234,24.0922,0.39,0.37,0.41,0.354,0.381,999.3,-5.1,-6.2
2015-03-04T01:00,83.1264,24.0774,0.4,0.36,0.4,0.374,0.384,998.7,-3.8,-6.2
2015-03-04T02:00,83.1292,24.0664,0.4,0.36,0.4,0.354,0.379,998.4,-3.3,-6.1
2015-03-04T03:00,83.1322,24.0634,0.4,0.36,,0.364,0.375,998.5,-2.4,-6.1
2015-03-04T04:01,83.1348,24.0636,0.4,0.36,,0.364,0.375,998.9,-3,-6
2015-03-04T05:00,83.1372,24.0658,0.39,0.36,,0.364,0.371,999.3,-3.1,-6
2015-03-04T06:00,83.1396,24.0698,0.39,0.36,0.35,0.364,0.366,999.8,-3.2,-5.9
2015-03-04T07:00,83.1416,24.0772,0.39,0.36,0.36,0.364,0.369,1000.3,-3.7,-5.9
2015-03-04T08:00,83.1432,24.0884,0.4,0.36,0.36,0.364,0.371,1001,-4.9,-5.8
2015-03-04T09:00,83.1446,24.1044,0.4,0.36,0.37,0.364,0.374,1001.6,-5,-5.8
2015-03-04T10:00,83.1454,24.1248,0.4,0.36,0.38,0.364,0.376,1002.1,-4,-5.8
2015-03-04T11:00,83.1458,24.1488,0.39,0.36,0.37,,0.373,1002.4,-4,-5.7
2015-03-04T12:00,83.146,24.1732,0.39,0.36,0.38,,0.377,1002.7,-4.2,-5.7
2015-03-04T13:00,83.1456,24.1926,0.39,0.36,0.38,0.364,0.374,1002.8,-4,-5.6
2015-03-04T14:00,83.1446,24.207,0.39,0.36,0.38,0.364,0.374,1002.9,-4.1,-5.6
2015-03-04T15:00,83.1428,24.2168,0.39,0.36,0.38,0.364,0.374,1002.9,-3.8,-5.6
2015-03-04T16:00,83.1412,24.224,0.39,0.36,0.38,0.364,0.374,1003,-4.1,-5.5
2015-03-04T17:00,83.14,24.2292,0.39,0.36,0.38,0.364,0.374,1002.9,-4.3,-5.5
2015-03-04T18:00,83.1392,24.2314,0.39,0.36,0.38,0.364,0.374,1002.8,-4.7,-5.5
2015-03-04T19:00,83.1382,24.2298,0.39,0.36,0.38,0.364,0.374,1002.6,-4.7,-5.4
2015-03-04T20:00,83.1378,24.2254,0.39,0.36,0.38,0.364,0.374,1002.4,-4.5,-5.4
2015-03-04T21:00,83.1372,24.2198,0.39,0.36,0.39,0.364,0.376,1002.1,-4.1,-5.4
2015-03-04T22:00,83.1366,24.2132,0.39,0.36,0.39,0.364,0.376,1001.7,-4.3,-5.3
2015-03-04T23:00,83.1358,24.2058,0.39,0.36,0.39,,0.38,1001.2,-4.3,-5.3
2015-03-05T00:00,83.1352,24.1984,0.39,0.36,0.39,,0.38,1000.8,-4.2,-5.3
2015-03-05T01:00,83.1346,24.193,0.39,0.36,0.39,0.364,0.376,1000.5,-4.4,-5.2
2015-03-05T02:00,83.1342,24.19,0.39,0.36,0.39,0.364,0.376,1000,-4.3,-5.2
2015-03-05T03:00,83.1342,24.1884,0.39,0.36,0.39,0.354,0.374,999.4,-4.6,-5.2
2015-03-05T04:00,83.1344,24.1876,0.39,0.36,0.39,0.354,0.374,998.9,-4.5,-5.1
2015-03-05T05:00,83.1348,24.1848,0.39,0.36,0.39,0.364,0.376,998.3,-5.4,-5.1
2015-03-05T06:00,83.1348,24.1772,0.39,0.36,0.39,0.364,0.376,997.7,-5.9,-5.1
2015-03-05T07:00,83.135,24.1686,0.39,0.36,0.39,0.364,0.376,997.1,-4.9,-5.1
2015-03-05T08:00,83.135,24.1582,0.39,0.36,0.39,0.364,0.376,996.8,-5.6,-5
2015-03-05T09:00,83.1352,24.15,0.39,0.36,0.39,0.364,0.376,996.2,-6.1,-5
2015-03-05T10:00,83.1356,24.1452,0.39,0.36,0.39,0.344,0.371,995.7,-6.3,-5
2015-03-05T11:00,83.136,24.1448,0.39,0.36,0.39,,0.38,994.9,-6.8,-5
2015-03-05T12:00,83.1362,24.149,0.39,0.36,0.39,0.334,0.369,994.8,-8.4,-5
2015-03-05T13:00,83.1366,24.1574,0.39,0.36,0.39,0.354,0.374,994,-8.1,-4.9
2015-03-05T14:00,83.137,24.169,0.39,0.36,0.39,0.354,0.374,993.5,-7.4,-4.9
2015-03-05T15:00,83.1374,24.1818,0.39,0.36,0.39,0.354,0.374,993.1,-7.2,-4.9
2015-03-05T16:00,83.138,24.1952,0.39,0.36,0.39,0.364,0.376,992.7,-7,-4.9
2015-03-05T17:00,83.1384,24.2074,0.39,0.36,0.39,0.354,0.374,992.6,-7.1,-4.9
2015-03-05T18:00,83.1388,24.2184,0.37,0.36,0.39,0.354,0.369,992.1,-7.5,-4.8
2015-03-05T19:00,83.1388,24.227,0.39,0.36,0.39,0.364,0.376,992,-9.2,-4.8
2015-03-05T20:00,83.1384,24.2324,0.39,0.36,0.39,0.354,0.374,992.2,-8.2,-4.8
2015-03-05T21:00,83.1376,24.2366,0.39,0.36,0.39,0.354,0.374,992.3,-7.7,-4.8
2015-03-05T22:00,83.1366,24.2418,0.39,0.36,0.4,0.354,0.376,992.2,-6.9,-4.8
2015-03-05T23:00,83.1354,24.2504,0.37,0.36,0.4,0.354,0.371,992.3,-6.7,-4.8
2015-03-06T00:00,83.1342,24.2638,0.37,0.36,0.4,0.364,0.374,992.5,-7.2,-4.7
2015-03-06T01:00,83.1328,24.283,0.36,0.36,0.4,0.354,0.369,992.7,-10.8,-4.7
2015-03-06T02:00,83.1312,24.3064,0.36,0.36,0.4,0.364,0.371,993.2,-14.1,-4.7
2015-03-06T03:00,83.1294,24.3314,0.38,0.36,0.39,0.364,0.374,993.5,-12.7,-4.7
2015-03-06T04:01,83.1276,24.3548,,,,0.394,0.394,993.7,-14.1,-4.7
2015-03-06T05:01,83.1258,24.3724,,,0.45,0.394,0.422,993.8,-14.9,-4.7
2015-03-06T06:01,83.1242,24.3854,,0.41,0.46,0.394,0.421,993.9,-15.4,-4.7
2015-03-06T07:01,83.1232,24.3928,,0.43,0.46,0.394,0.428,994.2,-15.6,-4.7
2015-03-06T08:01,83.123,24.3992,,0.43,0.46,,0.445,994.4,-14.4,-4.7
2015-03-06T09:01,83.1232,24.406,,,0.45,,0.45,994.4,-13.2,-4.7
2015-03-06T10:01,83.123,24.413,,,0.46,,0.46,994.3,-16.5,-4.7
2015-03-06T11:00,83.1226,24.4184,0.36,0.45,0.46,,0.423,994.2,-17.8,-4.7
2015-03-06T12:01,83.1224,24.4226,0.38,0.45,0.46,,0.43,994.4,-17.9,-4.7
2015-03-06T13:01,83.1226,24.4224,,0.43,0.46,,0.445,994,-16.1,-4.7
2015-03-06T14:01,83.1232,24.418,,0.43,0.46,,0.445,993.6,-15.1,-4.7
