file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvTexturehttp://purl.obolibrary.org/obo/ENVO_03000073,columnar,columnar,mixed,mixed,mixed,columnar,mixed,columnar,columnar,mp,mixed,mixed,mixed,mixed,mixed,mixed,mixed,columnar,mixed,mixed,mixed,columnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvSignalStrengthhttp://purl.obolibrary.org/obo/ENVO_00002200,17457.6,17403.3,17359.4,17364.2,17388.1,17439.6,17415.7,17400.7,17453.2,17416.3,17403.1,17361.8,17385.6,17412.3,17439.5,17436.5,17379,17519.9,17361.3,17397.4,17387.4,17417.4,17440.3,17426.4,17449,17382.4,17374.8,17435.9,17403.6,17401.8,17447.2,17415.9,17483.7,17429.9,17350.1,17426.1,17398.2,17389.9,17419.7,17398.4,17394,17397.4,17386.4,17389,17411.6,17392.4,17475.6,17438.1,17413.1,17332.6,17382.1,17387.8,17332.9,17353.4,17336.2,17371.8,17470.3,17427.7,17379.3,17458.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvSeaIceTypehttp://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,http://purl.obolibrary.org/obo/ENVO_03000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/physical_oceanography.csvSalinityhttp://purl.obolibrary.org/obo/ENVO_00002149,34.937,34.923,34.958,34.964,34.924,34.835,34.953,34.94,34.923,34.924,34.924,34.963,34.952,34.923,34.923,34.924,34.9,34.889,34.939,34.923,34.948,34.923,34.923,34.923,34.955,34.98,34.923,34.923,34.959,34.923,34.923,34.821,34.829,34.938,34.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvNitratehttp://purl.obolibrary.org/obo/ENVO_00002149,9.66,5.27,6.04,6.22,10.4,14.14,13.52,8.05,12.28,14.43,12.28,11.71,11.65,0.24,13.73,13.28,0.26,11.29,2.58,1.64,12.61,5.61,11.97,11.18,14.63,14.74,11.63,0.33,14.96,8.33,4.1,12.73,0.14,14.05,3.82,14.97,12.25,14.76,9.96,14.7,14.98,5.67,7.27,10.52,0.24,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvChlorophyllAConcentrationhttp://purl.obolibrary.org/obo/ENVO_00002149,0.6639,0.1543,0.0381,0.1792,0.3063,0.691,0.2305,0.1734,0.7249,0.0281,0.0956,0.322,0.1853,0.5716,0.2141,0.2105,0.0544,0.5391,0.1142,0.0753,0.0752,0.1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvSeaIceTypePortionhttp://purl.obolibrary.org/obo/ENVO_03000073,lower first-year portion of MYI (FY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),lower first-year portion of MYI (FY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),lower first-year portion of MYI (FY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),lower first-year portion of MYI (FY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),upper multi-year portion of MYI (MY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/physical_oceanography.csvOxygenhttp://purl.obolibrary.org/obo/ENVO_00002149,371.37,339.17,337.77,365.99,368.73,342.2,371.88,366.6,340.21,373.4,338.52,340.6,364.51,338.02,341.68,367.78,338.75,365.6,341.43,358.1,350.18,369.43,369.24,366.54,338.49,369.28,341.24,338.41,333.89,361.86,338.01,372.98,334.57,341.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/global_chlorophyll_a.csvTotalChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,0.5225,0.4679,0.4618,0.3126,0.41,2.341,0.2444,0.175,0.2166,0.506,0.2388,0.5993,0.2165,0.471,0.6917,0.2212,0.0529,1.5098,0.3868,0.549,0.282,0.2809,0.2803,0.2892,0.8652,0.607,0.1754,0.4166,0.082,3.046,0.189,0.1676,1.667,0.234,0.2853,1.9543,4.0852,0.2412,0.0532,0.2456,1.2766,0.0583,0.3986,1.163,0.255,0.5449,0.1765,0.5468,0.4198,0.3903,0.3724,0.5217,0.4791,0.7802,0.162,0.4214,0.1626,0.259,0.1311,0.3287,0.3025,0.5898,0.7922,0.8212,0.1121,0.2876,0.7828,0.0505,0.6538,0.3964,0.7523,0.5482,0.3411,0.3823,0.9152,1.0882,1.3933,0.5696,0.5872,0.3476,1.294,0.6233,0.5091,0.365,0.3285,0.2725,0.77,2.7493,0.6268,0.204,0.2471,0.5622,0.1706,2.289,0.3508,1.2307,0.1931,0.2209,0.4381,0.397,0.2326,0.166,0.2984,0.5799,0.1177,0.1827,0.5238,0.8586,0.0539,1.0456,0.1296,0.6097,0.8137,1.288,3.3895,2.1116,0.5849,0.8198,0.1565,0.5994,0.0958,1.6467,0.3292,0.1512,0.4729,0.1574,0.6013,0.6232,0.7726,0.3966,0.805,0.1277,0.6893,0.7024,0.368,4.3393,0.9215,0.1802,0.1102,0.2612,0.4853,0.2521,0.2425,1.3244,0.3563,0.8374,2.3753,1.8157,1.9702,0.418,0.7483,0.3153,0.1039,0.4668,2.8153,0.3219,0.4452,0.463,0.2434,0.2467,0.0556,0.3697,0.7849,0.5547,0.1606,0.4089,0.3321,0.312,0.9432,0.8468,0.1465,0.3158,0.7158,0.2391,0.525,0.6791,0.3011,0.47,1.1526,0.124,0.23,1.0171,0.49,0.24,0.4252,0.21,0.1601,0.4909,1.7282,0.1906,0.5421,0.2573,0.1984,0.4784,1.9215,0.1645,0.3043,0.1386,0.3291,1.9161,0.665,0.355,0.3728,0.9614,0.676,0.2758,0.7401,0.2801,0.852,2.4053,0.1398,0.6221,0.2704,0.1845,0.7184,0.1507,1.1885,0.7245,0.2695,0.8002,1.2197,0.129,0.8361,1.5099,4.1149,3.1024,0.2775,0.4509,0.0557,0.262,4.7189,0.263,0.4701,0.128,0.343,0.5376,1.0379,0.14,0.3557,0.0561,0.1883,0.345,0.255,8.7544,0.1094,0.5733,0.0706,0.6703,0.803,0.436,0.3629,1.0456,0.3594,2.0935,0.9552,0.5497,0.1601,0.363,2.7797,1.2648,0.1819,0.2208,1.1082,1.304,0.3966,0.083,0.2175,0.8357,0.494,0.3022,0.1588,0.243,5.2973,0.8686,0.5739,0.059,0.7137,0.1371,0.343,0.141,1.2744,0.445,0.1237,0.182,0.8337,0.1004,0.3649,2.3979
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvPhosphatehttp://purl.obolibrary.org/obo/ENVO_00002149,0.78,0.53,0.53,0.62,0.72,0.97,0.9,0.69,0.82,1.03,0.83,0.77,0.78,0.2,0.96,0.94,0.19,0.77,0.37,0.28,0.89,0.58,0.82,0.73,0.99,1.02,0.75,0.25,1.04,0.71,0.49,0.84,0.21,0.99,0.44,1.02,0.82,1,0.75,0.99,1,0.53,0.65,0.75,0.22,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvMaximumIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000073,2.13,0.33,0.73,1.33,1.73,2.03,1.53,0.23,1.93,0.13,1.03,1.63,1.13,1.83,1.23,1.43,0.53,2.23,0.93,0.83,0.63,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvNitritehttp://purl.obolibrary.org/obo/ENVO_00002149,0.23,0.12,0.09,0.19,0.21,0.06,0.05,0.09,0.05,0.03,0.05,0.03,0.05,0.02,0.04,0.04,0.03,0.16,0.07,0.06,0.04,0.07,0.07,0.14,0.04,0.02,0.07,0.05,0.02,0.2,0.09,0.02,0.02,0.03,0.1,0.02,0.05,0.04,0.28,0.04,0.01,0.09,0.15,0.12,0.04,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvSeaIceThicknesshttp://purl.obolibrary.org/obo/ENVO_00002200,0.786,0.789,0.789,0.787,0.785,0.782,0.786,0.787,0.785,0.783,0.783,0.787,0.789,0.787,0.783,0.784,0.782,0.787,0.783,0.786,0.786,0.782,0.785,0.784,0.784,0.786,0.784,0.786,0.786,0.787,0.785,0.785,0.791,0.787,0.791,0.789,0.788,0.781,0.787,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvTexturehttp://purl.obolibrary.org/obo/ENVO_03000071,mixed,columnar,granular,granular,granular,granular,granular,granular,mixed,mixed,granular,granular,columnar,mixed,granular,mixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000071,0.15,1.55,0.05,1.25,0.75,1.15,0.95,1.05,0.25,0.35,1.35,0.85,1.45,0.45,0.65,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvArealChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,0.006,0.0232,0.0111,0.0479,0.0062,0.0106,0.0063,0.0052,0.0093,0.0075,0.0342,0.0074,0.0275,0.0072,0.0052,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvSeaIceTypePortionhttp://purl.obolibrary.org/obo/ENVO_03000071,first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),first-year sea ice (FYI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/chlorophyll_a.csvChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,0.053,1.627,1.157,1.274,1.346,2.351,0.015,1.559,1.16,0.425,0.063,1.391,0.157,0.79,0.182,0.233,0.502,0.094,0.205,0.596,1.251,1.387,0.15,1.162,0.029,0.746,0.757,4,0.163,2.288,0.765,1.151,0.094,0.738,0.023,0.15,0.235,0.378,1.147,2.246,0.168,2.154,1.301,1.208,1.579,1.146,0.083,0.466,0.176,0.044,0.934,2.364,1.574,0.641,1.436,0.787,0.553,0.758,0.324,0.827,1.251,3.569,1.039,2.593,0.935,1.489,0.829,0.034,0.691,1.774,0.055,1.158,1.099,0.113,1.598,0.08,2.539,1.654,0.035,1.509,1.15,1.495,0.932,2.121,0.337,0.589,1.846,0.053,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
