file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvTexturehttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvSignalStrengthhttp://purl.obolibrary.org/obo/ENVO_00002200,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvSeaIceTypehttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/physical_oceanography.csvSalinityhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvNitratehttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvChlorophyllAConcentrationhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvSeaIceTypePortionhttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/physical_oceanography.csvOxygenhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/global_chlorophyll_a.csvTotalChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvPhosphatehttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvMaximumIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvNitritehttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvSeaIceThicknesshttp://purl.obolibrary.org/obo/ENVO_00002200,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvTexturehttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvArealChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvSeaIceTypePortionhttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/chlorophyll_a.csvChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvChlorophyllAConcentrationhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvSilicatehttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvMaximumIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvMinimumIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/snow_height.csvIceTemperaturehttp://purl.obolibrary.org/obo/ENVO_00002200,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvIceOrSnowTemperaturehttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvRelativeDistanceXhttp://purl.obolibrary.org/obo/ENVO_00002200,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/inorganic_nutrients.csvAmmoniumhttp://purl.obolibrary.org/obo/ENVO_00002149,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvMinimumIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvIceOrSnowDepthhttp://purl.obolibrary.org/obo/ENVO_03000073,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_fyi.csvSeaIceTypehttp://purl.obolibrary.org/obo/ENVO_03000071,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/influence_snow_depth.csvRelativeDistanceYhttp://purl.obolibrary.org/obo/ENVO_00002200,file:/home/kai/Desktop/grad_school/marmic/master_thesis/kblumberg_masters_thesis/datastore/build_datastore/ice_algal_chlorophyll_myi.csvArealChlorophyllAhttp://purl.obolibrary.org/obo/ENVO_00002149
mixed,17336.2,http://purl.obolibrary.org/obo/ENVO_03000073,34.9,13.28,0.5716,upper multi-year portion of MYI (MY),341.87,0.2175,0.94,1.83,0.04,0.786,granular,0.75,0.0062,first-year sea ice (FYI),2.154,0.0619,8.22,0.8,1.73,-6.3,-3.453,-76.78,0.05,0.7,1.78,http://purl.obolibrary.org/obo/ENVO_03000071,35.99,0.0572
columnar,17403.1,http://purl.obolibrary.org/obo/ENVO_03000073,34.924,0.26,0.1623,upper multi-year portion of MYI (MY),366.6,1.667,0.19,0.43,0.03,0.783,mixed,0.55,0.0061,first-year sea ice (FYI),0.15,0.0608,2.15,0.6,0.33,-4.7,-9.468,-77.84,0.04,0.5,0.38,http://purl.obolibrary.org/obo/ENVO_03000071,35.85,0.0162
mixed,17435.9,http://purl.obolibrary.org/obo/ENVO_03000073,34.948,12.28,0.2141,upper multi-year portion of MYI (MY),371.37,0.2758,0.82,1.23,0.05,0.781,granular,1.05,0.0052,first-year sea ice (FYI),0.029,0.0518,5.77,1.1,1.13,-6.3,-6.031,-77.42,0.1,1,1.18,http://purl.obolibrary.org/obo/ENVO_03000071,36,0.0214
mixed,17382.1,http://purl.obolibrary.org/obo/ENVO_03000073,34.939,5.61,0.0381,upper multi-year portion of MYI (MY),338.75,0.803,0.58,0.73,0.07,0.787,mixed,0.35,0.0075,first-year sea ice (FYI),0.205,0.0746,4.38,0.4,0.63,-5,-8.179,-76.73,0.61,0.3,0.68,http://purl.obolibrary.org/obo/ENVO_03000071,35.99,0.0038
columnar,17470.3,http://purl.obolibrary.org/obo/ENVO_03000073,34.923,12.61,0.5391,lower first-year portion of MYI (FY),369.43,0.1802,0.89,2.23,0.04,0.784,mixed,0.15,0.006,first-year sea ice (FYI),1.158,0.0603,6.93,0.2,2.13,-6.4,-1.735,-77.56,0.13,0.1,2.18,http://purl.obolibrary.org/obo/ENVO_03000071,35.95,0.0539
columnar,17389,http://purl.obolibrary.org/obo/ENVO_03000073,34.94,11.18,0.6639,lower first-year portion of MYI (FY),340.6,0.2388,0.73,2.13,0.14,0.786,granular,1.25,0.0479,first-year sea ice (FYI),0.176,0.479,4.98,1.3,2.03,-4.8,-2.164,-76.66,0.04,1.2,2.08,http://purl.obolibrary.org/obo/ENVO_03000071,35.98,0.0664
columnar,17382.4,http://purl.obolibrary.org/obo/ENVO_03000073,34.924,8.33,0.7249,lower first-year portion of MYI (FY),361.86,3.3895,0.71,1.93,0.2,0.789,mixed,0.25,0.0093,first-year sea ice (FYI),0.157,0.0927,4.73,0.3,1.83,-5.5,-3.024,-77.08,1.31,0.2,1.88,http://purl.obolibrary.org/obo/ENVO_03000071,36.01,0.0725
mixed,17426.1,http://purl.obolibrary.org/obo/ENVO_03000073,34.938,11.29,0.1142,upper multi-year portion of MYI (MY),365.99,0.4214,0.77,0.93,0.16,0.786,granular,0.95,0.0063,first-year sea ice (FYI),1.147,0.0627,5.5,1,0.83,-5.4,-7.32,-77.81,0.1,0.9,0.88,http://purl.obolibrary.org/obo/ENVO_03000071,35.94,0.0114
mixed,17392.4,http://purl.obolibrary.org/obo/ENVO_03000073,34.835,12.28,0.0956,upper multi-year portion of MYI (MY),337.77,0.2704,0.83,1.03,0.05,0.785,granular,1.15,0.0106,first-year sea ice (FYI),0.378,0.1064,6.28,1.2,0.93,-6.6,-6.89,-76.22,0.02,1.1,0.98,http://purl.obolibrary.org/obo/ENVO_03000071,36.08,0.0096
mixed,17398.2,http://purl.obolibrary.org/obo/ENVO_03000073,34.958,14.05,0.1792,upper multi-year portion of MYI (MY),368.73,0.5696,0.99,1.33,0.03,0.783,granular,0.65,0.0052,first-year sea ice (FYI),0.934,0.0522,11.17,0.7,1.23,-6.8,-5.601,-77.38,0.07,0.6,1.28,http://purl.obolibrary.org/obo/ENVO_03000071,36.02,0.0179
mixed,17361.3,http://purl.obolibrary.org/obo/ENVO_03000073,34.955,14.96,0.1853,upper multi-year portion of MYI (MY),338.01,0.3508,1.04,1.13,0.02,0.787,mixed,0.45,0.0072,first-year sea ice (FYI),1.574,0.0716,13.32,0.5,1.03,-4.7,-6.46,-77.84,0.09,0.4,1.08,http://purl.obolibrary.org/obo/ENVO_03000071,35.85,0.0185
mixed,17403.3,http://purl.obolibrary.org/obo/ENVO_03000073,34.937,14.74,0.2305,upper multi-year portion of MYI (MY),366.54,1.0882,1.02,1.53,0.02,0.787,granular,0.05,0.0111,first-year sea ice (FYI),1.146,0.111,14.61,0.1,1.43,-6.9,-4.742,-77.61,0.08,0,1.48,http://purl.obolibrary.org/obo/ENVO_03000071,35.93,0.0231
mixed,17374.8,http://purl.obolibrary.org/obo/ENVO_03000073,34.923,10.4,0.0544,upper multi-year portion of MYI (MY),365.6,0.1706,0.72,0.53,0.21,0.784,columnar,1.45,0.0275,first-year sea ice (FYI),0.182,0.2747,4.92,1.5,0.43,-4.7,-9.038,-76.53,0.41,1.4,0.48,http://purl.obolibrary.org/obo/ENVO_03000071,35.96,0.0054
columnar,17411.6,http://purl.obolibrary.org/obo/ENVO_03000073,34.963,6.04,0.1734,upper multi-year portion of MYI (MY),350.18,0.7726,0.53,0.23,0.09,0.787,columnar,1.55,0.0232,first-year sea ice (FYI),1.436,0.2315,4.3,1.6,0.13,-4.7,-10.327,-77.7,1.05,1.5,0.18,http://purl.obolibrary.org/obo/ENVO_03000071,35.89,0.0173
mp,17398.4,http://purl.obolibrary.org/obo/ENVO_03000073,34.821,12.73,0.0281,upper multi-year portion of MYI (MY),339.17,2.1116,0.84,0.13,0.02,0.788,granular,1.35,0.0342,first-year sea ice (FYI),1.251,0.3418,7.06,1.4,0,-4.7,-10.821,-76.64,0.03,1.3,0.065,http://purl.obolibrary.org/obo/ENVO_03000071,35.98,0.0036
mixed,17439.5,http://purl.obolibrary.org/obo/ENVO_03000073,34.924,11.65,0.0752,upper multi-year portion of MYI (MY),364.51,1.2744,0.78,0.63,0.05,0.785,granular,0.85,0.0074,first-year sea ice (FYI),2.593,0.074,5.46,0.9,0.53,-5,-8.608,-77.88,0.02,0.8,0.58,http://purl.obolibrary.org/obo/ENVO_03000071,35.91,0.0075
