Expertise,Query,Annotations
basic,'concentration of’ and ‘chlorophyll a’,0
basic,'marine current’ and ‘velocity’,4
basic,'microbial community’ and ‘species diversity’,0
basic,'sea ice’ and ‘depth’,0
basic,'sea ice’ and ‘temperature’,2
basic,'sea water’ and ‘chlorophyll a’,0
basic,'snow’ and ‘thickness’,8
intermediate,'concentration of’ and ‘chlorophyll a’,25
intermediate,'marine current’ and ‘velocity’,4
intermediate,'microbial community’ and ‘species diversity’,12
intermediate,'sea ice’ and ‘depth’,0
intermediate,'sea ice’ and ‘temperature’,2
intermediate,'sea water’ and ‘chlorophyll a’,12
intermediate,'snow’ and ‘thickness’,8
advanced,'concentration of’ and ‘chlorophyll a’,29
advanced,'marine current’ and ‘velocity’,7
advanced,'microbial community’ and ‘species diversity’,12
advanced,'sea ice’ and ‘depth’,18
advanced,'sea ice’ and ‘temperature’,5
advanced,'sea water’ and ‘chlorophyll a’,20
advanced,'snow’ and ‘thickness’,12
