Expertise,Query,annotation terms,Percent,Sample
basic,'Bacteria’ and ‘Archaea’,6,100,annotation terms
basic,'concentration of’ and ‘chlorophyll a’,0,0,annotation terms
basic,'marine current’ and ‘velocity’,0,0,annotation terms
basic,'microbial community’ and ‘species diversity’,0,0,annotation terms
basic,'sea ice’ and ‘depth’,0,0,annotation terms
basic,'sea ice’ and ‘temperature’,0,0,annotation terms
basic,'sea water’ and ‘chlorophyll a’,0,0,annotation terms
basic,'snow’ and ‘thickness’,0,0,annotation terms
intermediate,'Bacteria’ and ‘Archaea’,6,100,annotation terms
intermediate,'concentration of’ and ‘chlorophyll a’,0,0,annotation terms
intermediate,'marine current’ and ‘velocity’,4,57.1,annotation terms
intermediate,'microbial community’ and ‘species diversity’,0,0,annotation terms
intermediate,'sea ice’ and ‘depth’,0,0,annotation terms
intermediate,'sea ice’ and ‘temperature’,2,40,annotation terms
intermediate,'sea water’ and ‘chlorophyll a’,0,0,annotation terms
intermediate,'snow’ and ‘thickness’,8,66.7,annotation terms
advanced,'Bacteria’ and ‘Archaea’,6,100,annotation terms
advanced,'concentration of’ and ‘chlorophyll a’,25,86.2,annotation terms
advanced,'marine current’ and ‘velocity’,4,57.1,annotation terms
advanced,'microbial community’ and ‘species diversity’,12,100,annotation terms
advanced,'sea ice’ and ‘depth’,18,100,annotation terms
advanced,'sea ice’ and ‘temperature’,5,100,annotation terms
advanced,'sea water’ and ‘chlorophyll a’,12,60,annotation terms
advanced,'snow’ and ‘thickness’,8,66.7,annotation terms
basic,'Bacteria’ and ‘Archaea’,2,100,data columns
basic,'concentration of’ and ‘chlorophyll a’,0,0,data columns
basic,'marine current’ and ‘velocity’,0,0,data columns
basic,'microbial community’ and ‘species diversity’,0,0,data columns
basic,'sea ice’ and ‘depth’,0,0,data columns
basic,'sea ice’ and ‘temperature’,0,0,data columns
basic,'sea water’ and ‘chlorophyll a’,0,0,data columns
basic,'snow’ and ‘thickness’,0,0,data columns
intermediate,'Bacteria’ and ‘Archaea’,2,100,data columns
intermediate,'concentration of’ and ‘chlorophyll a’,0,0,data columns
intermediate,'marine current’ and ‘velocity’,2,66.7,data columns
intermediate,'microbial community’ and ‘species diversity’,0,0,data columns
intermediate,'sea ice’ and ‘depth’,0,0,data columns
intermediate,'sea ice’ and ‘temperature’,1,50,data columns
intermediate,'sea water’ and ‘chlorophyll a’,0,0,data columns
intermediate,'snow’ and ‘thickness’,4,80,data columns
advanced,'Bacteria’ and ‘Archaea’,2,100,data columns
advanced,'concentration of’ and ‘chlorophyll a’,9,100,data columns
advanced,'marine current’ and ‘velocity’,2,66.7,data columns
advanced,'microbial community’ and ‘species diversity’,4,100,data columns
advanced,'sea ice’ and ‘depth’,6,100,data columns
advanced,'sea ice’ and ‘temperature’,2,100,data columns
advanced,'sea water’ and ‘chlorophyll a’,4,66.7,data columns
advanced,'snow’ and ‘thickness’,4,80,data columns
