Biological Process,Sample 1 Cellular Components Count,Sample 2 Cellular Components Count,Sample 3 Cellular Components Count,Sample 4 Cellular Components Count
GO:0009772,120769,81634,94808,111282
GO:0019684,131862,88145,103346,120265
GO:0046718,19390,17705,16157,22561
GO:0006260,17810,15133,15249,19107
GO:0009767,11083,6510,8518,8970
GO:0019048,9994,9123,8323,11355
GO:0046797,9760,8991,8198,11303
GO:0015979,16563,8919,12887,12607
GO:0055085,14559,11241,12868,10358
GO:0006468,8178,8128,6461,6199
GO:0009060,6650,5637,4043,5731
GO:0055114,72057,55312,61146,52365
GO:0015977,6759,4507,5309,5607
GO:0000160,6998,5267,6933,4963
GO:0019069,5716,5222,4760,6626
GO:0008152,33316,25682,31125,23152
GO:0006355,16210,9810,14768,10081
GO:0015696,3662,1408,5803,2415
GO:0019073,3488,3083,2931,4102
GO:0006457,9567,6098,5159,3929
GO:0006810,23872,15124,23189,14469
GO:0006351,15371,6124,13659,6469
GO:0015991,5022,2687,3536,3474
GO:0006352,6490,4264,5773,4122
GO:0006950,3948,4557,2058,3833
GO:0009058,6006,4232,5779,4021
GO:0015992,4031,2299,3156,2492
GO:0046034,2262,1183,1676,1386
GO:0015986,6439,3283,4281,3746
GO:0006730,2028,1339,1437,1124
GO:0007264,1985,1749,1259,1517
GO:0006412,38042,17507,27327,17133
GO:0007155,2250,1193,2166,1289
GO:0045454,2615,1612,1997,1482
GO:0006508,12871,10576,10977,8876
GO:0006807,2802,1642,2578,1405
GO:0015031,2429,1223,2105,1213
GO:0000413,1378,940,997,833
GO:0006418,4189,2627,3744,2342
GO:0006629,1700,1274,1441,1230
GO:0016226,1866,506,1487,583
GO:0071973,1920,1444,1840,1324
GO:0022904,997,692,718,985
GO:0051603,984,687,606,603
GO:0005975,8131,5976,7343,5436
GO:0006979,1251,806,1036,800
GO:0007165,2164,2157,2180,1568
GO:0016032,862,1140,434,759
GO:0019082,858,1138,434,759
GO:0006096,3777,3298,2824,2656
GO:0006801,1474,476,1183,674
GO:0016310,1985,1906,1628,1917
GO:0006094,2028,1867,1238,1504
GO:0006879,769,851,478,399
GO:0009190,760,670,797,608
GO:0035556,810,723,817,659
GO:0006414,1013,498,725,427
GO:0019752,1022,840,724,787
GO:0009116,968,634,926,639
GO:0006413,2010,985,1518,849
GO:0006520,2002,1852,1748,1957
GO:0009306,1102,734,1093,698
GO:0006310,1355,1192,1388,938
GO:0015074,1412,1502,1562,1187
GO:0017038,1089,548,795,463
GO:0019538,662,530,492,436
GO:0006265,2357,1299,2025,1206
GO:0006546,609,457,571,344
GO:0000902,619,291,582,342
GO:0042254,707,385,527,334
GO:0007018,1020,1672,736,913
GO:0006537,593,313,473,272
GO:0006808,572,190,694,256
GO:0006812,913,790,956,712
GO:0006313,1580,1484,1626,1196
GO:0006281,1321,904,1267,920
GO:0009432,537,262,498,324
GO:0039694,533,396,389,315
GO:0006164,768,428,699,427
GO:0006419,487,278,378,240
GO:0043039,850,566,795,422
GO:0006109,522,243,448,309
GO:0006402,489,225,400,281
GO:0006556,1367,1022,1079,887
GO:0015708,481,108,392,490
GO:0008299,716,385,689,430
GO:0016579,471,532,294,345
GO:0006631,918,750,724,697
GO:0009396,796,729,629,526
GO:0017004,750,366,698,507
GO:0006614,868,487,764,466
GO:0006886,1544,1343,1024,1066
GO:0016192,1212,1142,765,924
GO:0006165,433,311,285,233
GO:0006183,433,311,285,233
GO:0006228,433,311,285,233
GO:0006241,433,311,285,233
GO:0044238,429,259,405,286
GO:0006099,749,448,642,397
GO:0009245,607,366,603,386
GO:0007156,422,445,359,406
GO:0006542,405,226,384,183
GO:0006817,407,511,253,553
GO:0006749,397,362,508,362
GO:0042558,387,290,356,262
GO:0022900,413,220,301,325
GO:0006529,447,442,401,456
GO:0006811,443,506,342,382
GO:0006526,480,251,359,223
GO:0007186,489,532,281,417
GO:0007154,361,282,383,267
GO:0009082,354,139,261,141
GO:0006221,366,204,284,186
GO:0031554,351,146,242,107
GO:0046854,332,230,334,212
GO:0009228,380,199,355,217
GO:0009186,323,152,270,156
GO:0000103,319,204,286,150
GO:0008652,325,172,270,148
GO:0008272,314,235,249,202
GO:0000105,913,514,848,473
GO:0015833,305,214,381,214
GO:0006779,431,380,347,300
GO:0009165,351,172,273,136
GO:0006097,296,268,252,299
GO:0006605,305,153,242,129
GO:0008033,917,552,748,497
GO:0042549,598,373,415,412
GO:0006555,287,274,245,194
GO:0006633,869,549,773,514
GO:0030163,310,163,288,182
GO:0009435,354,189,300,201
GO:0019288,275,114,192,135
GO:0050992,275,114,192,135
GO:0044341,267,368,216,295
GO:0006836,268,328,208,247
GO:0006464,478,528,399,445
GO:0006415,520,307,481,260
GO:0006139,448,295,444,222
GO:0015948,399,402,333,293
GO:0006814,752,600,775,505
GO:0032328,258,169,291,153
GO:0009073,414,202,355,232
GO:0001522,489,336,479,301
GO:0009451,628,416,652,377
GO:0008610,237,114,202,127
GO:0009231,601,314,545,304
GO:0050821,217,81,96,145
GO:0015940,322,181,274,205
GO:0016114,481,283,514,275
GO:0051205,214,67,163,65
GO:0006353,332,163,251,130
