X1_go_counts.txt	X2_go_counts.txt	X3_go_counts.txt	X4_go_counts.txt	X5_go_counts.txt	X6_go_counts.txt	go.name
GO:0009772	120769	81634	94808	111282	84871	87653	photosynthetic electron transport in photosystem II
GO:0019684	131862	88145	103346	120265	91311	94126	photosynthesis, light reaction
GO:0046718	19390	17705	16157	22561	20693	17781	viral entry into host cell
GO:0006260	17810	15133	15249	19107	18295	17388	DNA replication
GO:0009767	11083	6510	8518	8970	6431	6467	photosynthetic electron transport chain
GO:0019048	9994	9123	8323	11355	10838	9246	modulation by virus of host morphology or physiology
GO:0046797	9760	8991	8198	11303	10470	9018	viral procapsid maturation
GO:0015979	16563	8919	12887	12607	9040	8179	photosynthesis
GO:0055085	14559	11241	12868	10358	12577	23043	transmembrane transport
GO:0006468	8178	8128	6461	6199	8000	11895	protein phosphorylation
GO:0009060	6650	5637	4043	5731	5905	7185	aerobic respiration
GO:0055114	72057	55312	61146	52365	63581	100936	oxidation-reduction process
GO:0015977	6759	4507	5309	5607	4360	4668	carbon fixation
GO:0000160	6998	5267	6933	4963	5653	11026	phosphorelay signal transduction system
GO:0019069	5716	5222	4760	6626	6139	5331	viral capsid assembly
GO:0008152	33316	25682	31125	23152	29611	54778	metabolic process
GO:0006355	16210	9810	14768	10081	12450	17484	regulation of transcription, DNA-templated
GO:0015696	3662	1408	5803	2415	1510	1730	ammonium transport
GO:0019073	3488	3083	2931	4102	3802	3261	viral DNA genome packaging
GO:0006457	9567	6098	5159	3929	6782	6695	protein folding
GO:0006810	23872	15124	23189	14469	18939	31136	transport
GO:0006351	15371	6124	13659	6469	10955	11375	transcription, DNA-templated
GO:0015991	5022	2687	3536	3474	3584	3690	ATP hydrolysis coupled proton transport
GO:0006352	6490	4264	5773	4122	5103	5603	DNA-templated transcription, initiation
GO:0006950	3948	4557	2058	3833	4041	4745	response to stress
GO:0009058	6006	4232	5779	4021	5058	10172	biosynthetic process
GO:0015992	4031	2299	3156	2492	3298	3571	proton transport
GO:0046034	2262	1183	1676	1386	1632	1736	ATP metabolic process
GO:0015986	6439	3283	4281	3746	4214	4197	ATP synthesis coupled proton transport
GO:0006730	2028	1339	1437	1124	1563	1773	one-carbon metabolic process
GO:0007264	1985	1749	1259	1517	1871	1959	small GTPase mediated signal transduction
GO:0006412	38042	17507	27327	17133	31799	32477	translation
GO:0007155	2250	1193	2166	1289	2761	1475	cell adhesion
GO:0045454	2615	1612	1997	1482	2132	2475	cell redox homeostasis
GO:0006508	12871	10576	10977	8876	11521	16372	proteolysis
GO:0006807	2802	1642	2578	1405	2161	3006	nitrogen compound metabolic process
GO:0015031	2429	1223	2105	1213	1797	2866	protein transport
GO:0000413	1378	940	997	833	1160	1286	protein peptidyl-prolyl isomerization
GO:0006418	4189	2627	3744	2342	3414	6146	tRNA aminoacylation for protein translation
GO:0006629	1700	1274	1441	1230	1544	2178	lipid metabolic process
GO:0016226	1866	506	1487	583	825	747	iron-sulfur cluster assembly
GO:0071973	1920	1444	1840	1324	1642	2978	bacterial-type flagellum-dependent cell motility
GO:0022904	997	692	718	985	719	865	respiratory electron transport chain
GO:0051603	984	687	606	603	765	855	proteolysis involved in cellular protein catabolic process
GO:0005975	8131	5976	7343	5436	7051	13784	carbohydrate metabolic process
GO:0006979	1251	806	1036	800	1217	1246	response to oxidative stress
GO:0007165	2164	2157	2180	1568	1989	5079	signal transduction
GO:0016032	862	1140	434	759	1017	1443	viral process
GO:0019082	858	1138	434	759	1017	1438	viral protein processing
GO:0006096	3777	3298	2824	2656	3360	6953	glycolytic process
GO:0006801	1474	476	1183	674	774	628	superoxide metabolic process
GO:0016310	1985	1906	1628	1917	2055	3520	phosphorylation
GO:0006094	2028	1867	1238	1504	1775	3641	gluconeogenesis
GO:0006879	769	851	478	399	689	723	cellular iron ion homeostasis
GO:0009190	760	670	797	608	670	1414	cyclic nucleotide biosynthetic process
GO:0035556	810	723	817	659	756	1482	intracellular signal transduction
GO:0006414	1013	498	725	427	817	824	translational elongation
GO:0019752	1022	840	724	787	949	1273	carboxylic acid metabolic process
GO:0009116	968	634	926	639	892	1624	nucleoside metabolic process
GO:0006413	2010	985	1518	849	1505	1721	translational initiation
GO:0006520	2002	1852	1748	1957	2144	4084	cellular amino acid metabolic process
GO:0009306	1102	734	1093	698	861	1427	protein secretion
GO:0006310	1355	1192	1388	938	1074	3230	DNA recombination
GO:0015074	1412	1502	1562	1187	1189	4311	DNA integration
GO:0017038	1089	548	795	463	681	990	protein import
GO:0019538	662	530	492	436	439	479	protein metabolic process
GO:0006265	2357	1299	2025	1206	1735	2814	DNA topological change
GO:0006546	609	457	571	344	495	896	glycine catabolic process
GO:0000902	619	291	582	342	458	606	cell morphogenesis
GO:0042254	707	385	527	334	635	647	ribosome biogenesis
GO:0007018	1020	1672	736	913	1325	1303	microtubule-based movement
GO:0006537	593	313	473	272	468	795	glutamate biosynthetic process
GO:0006808	572	190	694	256	342	375	regulation of nitrogen utilization
GO:0006812	913	790	956	712	893	2258	cation transport
GO:0006313	1580	1484	1626	1196	1207	4354	transposition, DNA-mediated
GO:0006281	1321	904	1267	920	1066	2220	DNA repair
GO:0009432	537	262	498	324	387	489	SOS response
GO:0039694	533	396	389	315	543	391	viral RNA genome replication
GO:0006164	768	428	699	427	636	1119	purine nucleotide biosynthetic process
GO:0006419	487	278	378	240	359	693	alanyl-tRNA aminoacylation
GO:0043039	850	566	795	422	628	1360	tRNA aminoacylation
GO:0006109	522	243	448	309	372	384	regulation of carbohydrate metabolic process
GO:0006402	489	225	400	281	339	324	mRNA catabolic process
GO:0006556	1367	1022	1079	887	1169	1436	S-adenosylmethionine biosynthetic process
GO:0015708	481	108	392	490	464	240	silicate transport
GO:0008299	716	385	689	430	519	810	isoprenoid biosynthetic process
GO:0016579	471	532	294	345	494	556	protein deubiquitination
GO:0006631	918	750	724	697	913	1387	fatty acid metabolic process
GO:0009396	796	729	629	526	775	1444	folic acid-containing compound biosynthetic process
GO:0017004	750	366	698	507	544	923	cytochrome complex assembly
GO:0006614	868	487	764	466	666	1122	SRP-dependent cotranslational protein targeting to membrane
GO:0006886	1544	1343	1024	1066	1583	1471	intracellular protein transport
GO:0016192	1212	1142	765	924	1254	1108	vesicle-mediated transport
GO:0006165	433	311	285	233	373	422	nucleoside diphosphate phosphorylation
GO:0006183	433	311	285	233	373	422	GTP biosynthetic process
GO:0006228	433	311	285	233	373	422	UTP biosynthetic process
GO:0006241	433	311	285	233	373	422	CTP biosynthetic process
GO:0044238	429	259	405	286	338	517	primary metabolic process
GO:0006099	749	448	642	397	511	963	tricarboxylic acid cycle
GO:0009245	607	366	603	386	455	863	lipid A biosynthetic process
GO:0007156	422	445	359	406	686	638	homophilic cell adhesion via plasma membrane adhesion molecules
GO:0006542	405	226	384	183	277	307	glutamine biosynthetic process
GO:0006817	407	511	253	553	519	799	phosphate ion transport
GO:0006749	397	362	508	362	387	885	glutathione metabolic process
GO:0042558	387	290	356	262	349	689	pteridine-containing compound metabolic process
GO:0022900	413	220	301	325	458	317	electron transport chain
GO:0006529	447	442	401	456	457	1031	asparagine biosynthetic process
GO:0006811	443	506	342	382	640	697	ion transport
GO:0006526	480	251	359	223	357	603	arginine biosynthetic process
GO:0007186	489	532	281	417	505	566	G-protein coupled receptor signaling pathway
GO:0007154	361	282	383	267	423	413	cell communication
GO:0009082	354	139	261	141	275	271	branched-chain amino acid biosynthetic process
GO:0006221	366	204	284	186	254	385	pyrimidine nucleotide biosynthetic process
GO:0031554	351	146	242	107	230	254	regulation of DNA-templated transcription, termination
GO:0046854	332	230	334	212	276	563	phosphatidylinositol phosphorylation
GO:0009228	380	199	355	217	271	455	thiamine biosynthetic process
GO:0009186	323	152	270	156	245	284	deoxyribonucleoside diphosphate metabolic process
GO:0000103	319	204	286	150	317	289	sulfate assimilation
GO:0008652	325	172	270	148	247	413	cellular amino acid biosynthetic process
GO:0008272	314	235	249	202	258	633	sulfate transport
GO:0000105	913	514	848	473	731	1313	histidine biosynthetic process
GO:0015833	305	214	381	214	272	606	peptide transport
GO:0006779	431	380	347	300	362	735	porphyrin-containing compound biosynthetic process
GO:0009165	351	172	273	136	254	407	nucleotide biosynthetic process
GO:0006097	296	268	252	299	315	477	glyoxylate cycle
GO:0006605	305	153	242	129	240	325	protein targeting
GO:0008033	917	552	748	497	726	1432	tRNA processing
GO:0042549	598	373	415	412	321	313	photosystem II stabilization
GO:0006555	287	274	245	194	261	559	methionine metabolic process
GO:0006633	869	549	773	514	697	1145	fatty acid biosynthetic process
GO:0030163	310	163	288	182	198	265	protein catabolic process
GO:0009435	354	189	300	201	232	500	NAD biosynthetic process
GO:0019288	275	114	192	135	154	204	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway
GO:0050992	275	114	192	135	154	204	dimethylallyl diphosphate biosynthetic process
GO:0044341	267	368	216	295	286	492	sodium-dependent phosphate transport
GO:0006836	268	328	208	247	466	641	neurotransmitter transport
GO:0006464	478	528	399	445	449	889	cellular protein modification process
GO:0006415	520	307	481	260	365	724	translational termination
GO:0006139	448	295	444	222	340	659	nucleobase-containing compound metabolic process
GO:0015948	399	402	333	293	534	877	methanogenesis
GO:0006814	752	600	775	505	835	1692	sodium ion transport
GO:0032328	258	169	291	153	220	569	alanine transport
GO:0009073	414	202	355	232	315	510	aromatic amino acid family biosynthetic process
GO:0001522	489	336	479	301	410	944	pseudouridine synthesis
GO:0009451	628	416	652	377	509	1155	RNA modification
GO:0008610	237	114	202	127	167	238	lipid biosynthetic process
GO:0009231	601	314	545	304	548	908	riboflavin biosynthetic process
GO:0050821	217	81	96	145	91	135	protein stabilization
GO:0015940	322	181	274	205	247	444	pantothenate biosynthetic process
GO:0016114	481	283	514	275	371	652	terpenoid biosynthetic process
GO:0051205	214	67	163	65	142	213	protein insertion into membrane
GO:0006353	332	163	251	130	213	251	DNA-templated transcription, termination
GO:0042274	207	108	137	70	133	153	ribosomal small subunit biogenesis
GO:0033014	604	327	526	328	470	798	tetrapyrrole biosynthetic process
GO:0006098	200	105	158	151	159	202	pentose-phosphate shunt
GO:0006420	309	197	243	148	240	526	arginyl-tRNA aminoacylation
GO:0006306	289	240	340	234	266	628	DNA methylation
GO:0019551	192	127	231	148	189	326	glutamate catabolic process to 2-oxoglutarate
GO:0006796	192	145	132	110	169	195	phosphate-containing compound metabolic process
GO:0006935	374	332	364	239	260	1005	chemotaxis
GO:0042128	260	170	308	197	192	306	nitrate assimilation
GO:0006396	832	662	760	526	729	1594	RNA processing
GO:0003333	185	275	211	222	239	611	amino acid transmembrane transport
GO:0006021	179	138	147	114	174	184	inositol biosynthetic process
GO:0008654	499	359	491	383	501	780	phospholipid biosynthetic process
GO:0042773	348	182	343	272	244	371	ATP synthesis coupled electron transport
GO:0007034	176	153	109	116	137	185	vacuolar transport
GO:0006511	514	453	298	403	546	548	ubiquitin-dependent protein catabolic process
GO:0016051	285	132	297	123	165	276	carbohydrate biosynthetic process
