pfamacc	goterm	obsolete	consider	replaced	alt_id	go.name	go.namespace
1	PF00001	GO:0004930				GO:0001622;GO:0001623;GO:0001624;GO:0001625;GO:0016526;	G-protein coupled receptor activity	molecular_function
2	PF00001	GO:0007186					G-protein coupled receptor signaling pathway	biological_process
3	PF00001	GO:0016021					integral component of membrane	cellular_component
4	PF00002	GO:0004930				GO:0001622;GO:0001623;GO:0001624;GO:0001625;GO:0016526;	G-protein coupled receptor activity	molecular_function
5	PF00002	GO:0007186					G-protein coupled receptor signaling pathway	biological_process
6	PF00002	GO:0016021					integral component of membrane	cellular_component
7	PF00003	GO:0004930				GO:0001622;GO:0001623;GO:0001624;GO:0001625;GO:0016526;	G-protein coupled receptor activity	molecular_function
8	PF00003	GO:0007186					G-protein coupled receptor signaling pathway	biological_process
9	PF00003	GO:0016021					integral component of membrane	cellular_component
10	PF00004	GO:0005524					ATP binding	molecular_function
11	PF00005	GO:0005524					ATP binding	molecular_function
12	PF00005	GO:0016887				GO:0004002;	ATPase activity	molecular_function
13	PF00006	GO:0005524					ATP binding	molecular_function
14	PF00008	GO:0005515				GO:0045308;	protein binding	molecular_function
15	PF00010	GO:0046983					protein dimerization activity	molecular_function
16	PF00013	GO:0003723					RNA binding	molecular_function
17	PF00014	GO:0004867					serine-type endopeptidase inhibitor activity	molecular_function
18	PF00015	GO:0004871				GO:0005062;GO:0009369;GO:0009370;	signal transducer activity	molecular_function
19	PF00015	GO:0007165				GO:0023033;	signal transduction	biological_process
20	PF00015	GO:0016020					membrane	cellular_component
21	PF00016	GO:0000287					magnesium ion binding	molecular_function
22	PF00018	GO:0005515				GO:0045308;	protein binding	molecular_function
23	PF00019	GO:0008083					growth factor activity	molecular_function
24	PF00020	GO:0005515				GO:0045308;	protein binding	molecular_function
25	PF00023	GO:0005515				GO:0045308;	protein binding	molecular_function
26	PF00025	GO:0005525					GTP binding	molecular_function
27	PF00028	GO:0005509					calcium ion binding	molecular_function
28	PF00028	GO:0007156					homophilic cell adhesion via plasma membrane adhesion molecules	biological_process
29	PF00028	GO:0016020					membrane	cellular_component
30	PF00031	GO:0004869				GO:0004870;	cysteine-type endopeptidase inhibitor activity	molecular_function
31	PF00032	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
32	PF00032	GO:0016491					oxidoreductase activity	molecular_function
33	PF00032	GO:0016020					membrane	cellular_component
34	PF00033	GO:0022904					respiratory electron transport chain	biological_process
