X1_go_counts.txt	X2_go_counts.txt	X3_go_counts.txt	X4_go_counts.txt	X5_go_counts.txt	X6_go_counts.txt	go.name
GO:0045156	120776	81635	94818	111290	84876	87658	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity
GO:0005198	27052	24415	23123	30544	29548	26322	structural molecule activity
GO:0000287	20681	14182	15328	15396	13734	15956	magnesium ion binding
GO:0005524	76621	53430	59716	45356	64031	87755	ATP binding
GO:0016168	11083	6510	8518	8970	6431	6467	chlorophyll binding
GO:0016887	11648	8665	10811	8531	9998	16550	ATPase activity
GO:0004672	8127	8042	6431	6145	7912	11855	protein kinase activity
GO:0004129	7923	6728	4958	7213	7546	8500	cytochrome-c oxidase activity
GO:0005506	8916	7107	5998	7169	7577	9723	iron ion binding
GO:0009055	15983	12017	11397	13173	13799	15966	electron carrier activity
GO:0020037	13350	11542	9393	11201	12556	15972	heme binding
GO:0016984	6623	4425	5160	5542	4269	4402	ribulose-bisphosphate carboxylase activity
GO:0003924	5199	7618	3208	4506	5679	6856	GTPase activity
GO:0016491	39589	32532	34941	30383	35994	59748	oxidoreductase activity
GO:0003677	39913	24017	36171	24288	31552	41703	DNA binding
GO:0003824	22953	17132	21444	15600	19703	36892	catalytic activity
GO:0005525	10941	7411	7777	6074	9147	11909	GTP binding
GO:0003676	10928	7030	8535	5953	9131	11145	nucleic acid binding
GO:0008519	3662	1408	5803	2415	1510	1730	ammonium transmembrane transporter activity
GO:0008484	3155	2216	3327	1977	2539	6293	sulfuric ester hydrolase activity
GO:0005515	16294	15810	11980	12644	21645	21261	protein binding
GO:0003723	11447	7292	9683	7099	10315	11246	RNA binding
GO:0003968	3441	2742	3153	3038	3509	2613	RNA-directed RNA polymerase activity
GO:0016820	2776	1545	1907	1643	1807	2002	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances
GO:0003700	8034	5177	7116	5114	6008	8007	transcription factor activity, sequence-specific DNA binding
GO:0016987	5988	3533	5319	3763	4392	5118	sigma factor activity
GO:0004872	5094	2423	4342	2434	3577	3953	receptor activity
GO:0005215	8586	6290	8576	5659	7160	14553	transporter activity
GO:0051082	3255	2963	1502	1750	2870	2929	unfolded protein binding
GO:0005507	5478	2697	4942	3831	4338	2917	copper ion binding
GO:0030170	5108	3987	4893	3825	4741	9001	pyridoxal phosphate binding
GO:0051536	6866	5010	6202	4677	5769	9045	iron-sulfur cluster binding
GO:0015002	2161	1106	1457	1836	1766	1614	heme-copper terminal oxidase activity
GO:0003899	11632	3518	10120	3525	7387	8418	DNA-directed RNA polymerase activity
GO:0015078	5938	3014	4096	4079	4083	3919	hydrogen ion transmembrane transporter activity
GO:0004013	1970	1253	1404	1101	1527	1699	adenosylhomocysteinase activity
GO:0050662	2111	1350	1998	1317	1744	2943	coenzyme binding
GO:0003735	38473	17703	27596	17302	32081	32715	structural constituent of ribosome
GO:0005509	7582	7048	6079	5755	10439	8311	calcium ion binding
GO:0016209	1969	929	1781	1042	1393	1659	antioxidant activity
GO:0004252	3755	2943	3404	2931	3975	4352	serine-type endopeptidase activity
GO:0004427	1938	1233	1590	1200	1813	1966	inorganic diphosphatase activity
GO:0009678	1746	1088	1458	1090	1644	1771	hydrogen-translocating pyrophosphatase activity
GO:0008234	1715	2370	1119	1451	1563	2405	cysteine-type peptidase activity
GO:0008483	1629	1213	1584	1136	1520	2892	transaminase activity
GO:0004356	2020	1096	1742	839	1512	1483	glutamate-ammonia ligase activity
GO:0016620	3401	2695	2501	2310	2951	4638	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor
GO:0003755	1378	940	997	833	1160	1286	peptidyl-prolyl cis-trans isomerase activity
GO:0000166	6438	4525	5699	3848	5785	9844	nucleotide binding
GO:0004812	4018	2504	3538	2219	3290	5767	aminoacyl-tRNA ligase activity
GO:0016747	2886	2198	2459	2105	2596	4124	transferase activity, transferring acyl groups other than amino-acyl groups
GO:0016787	6632	5223	7055	4878	5826	13082	hydrolase activity
GO:0016627	2606	2149	2629	2085	2531	4510	oxidoreductase activity, acting on the CH-CH group of donors
GO:0019843	3015	1156	2159	1186	2249	2657	rRNA binding
GO:0030976	2275	1693	2048	1536	2010	3444	thiamine pyrophosphate binding
GO:0004222	3495	2188	2970	1941	2416	3780	metalloendopeptidase activity
GO:0008134	1166	1056	1246	948	1022	2413	transcription factor binding
