X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF00124	120769	81634	94808	111282	84871	87653	Photosynthetic reaction centre protein	GO:0045156	GO:0009772,GO:0019684	NA
PF02305	24673	22593	20854	28792	26186	22969	Capsid protein (F protein)	GO:0005198	NA	GO:0019028
PF04687	19375	17695	16151	22550	20686	17771	Microvirus H protein (pilot protein)	NA	GO:0046718	GO:0019028
PF00016	17910	12073	13280	13794	11423	11554	Ribulose bisphosphate carboxylase large chain, catalytic domain	GO:0000287	NA	NA
PF05840	14366	13204	12129	17258	15479	13422	Bacteriophage replication gene A protein (GPA)	NA	GO:0006260	NA
PF00118	13700	6664	7811	4361	8401	6965	TCP-1/cpn60 chaperonin family	GO:0005524	NA	NA
PF00421	11083	6510	8518	8970	6431	6467	Photosystem II protein	GO:0016168	GO:0009767,GO:0019684	GO:0009521,GO:0016020
PF00009	10604	6029	7414	4830	8932	8557	Elongation factor Tu GTP binding domain	NA	NA	NA
PF00005	10332	7766	9593	7718	8975	15160	ABC transporter	GO:0005524,GO:0016887	NA	NA
PF02306	9993	9123	8323	11355	10838	9246	Major spike protein (G protein)	NA	GO:0019048	NA
PF02925	9760	8991	8198	11303	10470	9018	Bacteriophage scaffolding protein D	NA	GO:0046797	NA
PF00223	9708	6411	6936	7285	5736	5646	Photosystem I psaA/psaB protein	NA	GO:0015979	GO:0009522,GO:0009579,GO:0016021
PF00012	8997	8122	4265	4958	7051	7183	Hsp70 protein	NA	NA	NA
PF07690	8734	6238	7247	5945	6685	11851	Major Facilitator Superfamily	NA	GO:0055085	GO:0016021
PF00069	7463	7425	5969	5651	7172	10734	Protein kinase domain	GO:0004672,GO:0005524	GO:0006468	NA
PF00101	6740	4261	4700	5322	4048	4166	Ribulose bisphosphate carboxylase, small chain	NA	NA	NA
PF00115	6650	5637	4043	5731	5905	7185	Cytochrome C and Quinol oxidase polypeptide I	GO:0004129,GO:0005506,GO:0009055,GO:0020037	GO:0009060,GO:0055114	GO:0016021
PF02788	6623	4425	5160	5542	4269	4402	Ribulose bisphosphate carboxylase large chain, N-terminal domain	GO:0016984	GO:0015977	NA
PF00006	6574	3586	4857	4005	4627	4814	ATP synthase alpha/beta family, nucleotide-binding domain	GO:0005524	NA	NA
PF00072	6101	4654	6050	4417	4973	9352	Response regulator receiver domain	NA	GO:0000160	NA
PF02304	5715	5222	4759	6626	6137	5327	Scaffold protein B	NA	GO:0019069	GO:0046729
PF00022	4989	4789	3289	4143	6960	4779	Actin	NA	NA	NA
PF00091	4713	7101	2902	4114	5226	6246	Tubulin/FtsZ family, GTPase domain	GO:0003924	NA	NA
PF00106	4571	3501	4333	3256	3971	7578	short chain dehydrogenase	GO:0016491	GO:0008152	NA
PF00504	4570	1546	3323	2954	2358	1744	Chlorophyll A-B binding protein	NA	NA	NA
PF00011	4542	6653	1641	4418	3909	5016	Hsp20/alpha crystallin family	NA	NA	NA
PF00004	4512	2881	2852	2321	3188	3473	ATPase family associated with various cellular activities (AAA)	GO:0005524	NA	NA
PF00313	4151	1569	3799	2012	3135	3103	'Cold-shock' DNA-binding domain	GO:0003677	GO:0006355	NA
PF02518	4135	3386	3532	2778	3550	7115	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	NA	NA	NA
PF00501	3997	3714	3825	3375	3747	7683	AMP-binding enzyme	GO:0003824	GO:0008152	NA
PF07992	3985	3305	3399	2886	3553	6921	Pyridine nucleotide-disulphide oxidoreductase	GO:0016491	GO:0055114	NA
PF04896	3935	886	3714	1941	2349	1161	Ammonia monooxygenase/methane monooxygenase, subunit C	NA	NA	NA
PF00078	3842	3505	2739	2832	2973	3846	Reverse transcriptase (RNA-dependent DNA polymerase)	NA	NA	NA
PF02469	3819	455	3194	708	998	610	Fasciclin domain	NA	NA	NA
PF03144	3796	2042	2662	1514	2990	2969	Elongation factor Tu domain 2	GO:0005525	NA	NA
PF00575	3796	1647	2964	1500	2716	3151	S1 RNA binding domain	GO:0003676	NA	NA
PF00909	3662	1408	5803	2415	1510	1730	Ammonium Transporter Family	GO:0008519	GO:0015696	GO:0016020
PF00076	3635	2475	2809	2224	3460	2843	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	GO:0003676	NA	NA
PF12025	3488	3083	2931	4102	3802	3261	Phage protein C	NA	GO:0019073	NA
PF00166	3434	1494	1614	714	1689	1351	Chaperonin 10 Kd subunit	NA	GO:0006457	GO:0005737
PF04744	3421	708	2565	1294	1982	591	Monooxygenase subunit B protein	NA	NA	NA
PF01391	3329	1605	1737	1551	2089	1395	Collagen triple helix repeat (20 copies)	NA	NA	NA
PF00496	3312	2181	4148	2130	2669	3698	Bacterial extracellular solute-binding proteins, family 5 Middle	NA	NA	NA
PF00528	3276	2154	3167	1825	2199	5031	Binding-protein-dependent transport system inner membrane component	NA	GO:0006810	GO:0016020
PF00125	3180	4027	3103	3222	3581	3338	Core histone H2A/H2B/H3/H4	GO:0003677	NA	NA
PF12942	3162	651	2810	1263	1621	520	Archaeal ammonia monooxygenase subunit A (AmoA)	NA	NA	NA
PF00884	3155	2216	3327	1977	2539	6293	Sulfatase	GO:0008484	GO:0008152	NA
PF00240	3127	3294	1791	2662	3103	4090	Ubiquitin family	GO:0005515	NA	NA
PF00384	3094	3864	2715	3663	3198	4879	Molybdopterin oxidoreductase	GO:0016491	GO:0055114	NA
PF13544	3093	1387	3051	1790	2310	1938	Type IV pilin N-term methylation site GFxxxE	NA	NA	NA
PF03143	3076	1595	2193	1209	2507	2170	Elongation factor Tu C-terminal domain	NA	NA	NA
PF04726	3061	2846	2580	3720	3404	2817	Microvirus J protein	GO:0003677	NA	NA
PF00171	2814	2424	2534	1954	2718	4634	Aldehyde dehydrogenase family	GO:0016491	GO:0008152,GO:0055114	NA
PF00680	2752	2184	2638	2544	2793	1963	RNA dependent RNA polymerase	GO:0003723,GO:0003968	GO:0006351	NA
PF00216	2708	1101	2556	1590	2085	1889	Bacterial DNA-binding protein	GO:0003677	NA	NA
PF00306	2692	1475	1823	1579	1737	1882	ATP synthase alpha/beta chain, C terminal domain	GO:0016820	GO:0015991	GO:0033178
PF03953	2675	4680	1850	2543	3627	3615	Tubulin C-terminal domain	NA	NA	NA
