Date Time,Latitude,Longitude,Relative Distance X,Relative Distance Y,Sea Ice Thickness,Signal Strength
2013-09-01T14:37:50,-61.1926198,-41.0623136,-60,30.22,0.57,20517.2
2013-09-01T14:37:51,-61.1926202,-41.0623135,-59.94,30.21,0.566,20571.9
2013-09-01T14:37:51,-61.1926207,-41.0623138,-59.87,30.18,0.569,20531.6
2013-09-01T14:37:51,-61.1926212,-41.0623141,-59.8,30.15,0.568,20547.1
2013-09-01T14:37:51,-61.1926217,-41.0623145,-59.73,30.11,0.568,20548.8
2013-09-01T14:37:51,-61.1926222,-41.0623148,-59.67,30.08,0.567,20552.4
2013-09-01T14:37:51,-61.1926227,-41.0623151,-59.6,30.05,0.564,20602.2
2013-09-01T14:37:51,-61.1926232,-41.0623155,-59.53,30.02,0.563,20620.2
2013-09-01T14:37:51,-61.1926237,-41.0623158,-59.46,29.99,0.568,20536.3
2013-09-01T14:37:51,-61.1926242,-41.0623161,-59.4,29.95,0.572,20473.7
2013-09-01T14:37:51,-61.1926247,-41.0623165,-59.33,29.92,0.569,20525.2
2013-09-01T14:37:52,-61.1926251,-41.0623165,-59.26,29.9,0.573,20461.3
2013-09-01T14:37:52,-61.1926255,-41.0623162,-59.21,29.91,0.569,20525.1
2013-09-01T14:37:52,-61.1926258,-41.0623159,-59.15,29.92,0.57,20511.2
2013-09-01T14:37:52,-61.1926261,-41.0623155,-59.09,29.92,0.569,20524.4
2013-09-01T14:37:52,-61.1926265,-41.0623152,-59.03,29.93,0.565,20583.4
2013-09-01T14:37:52,-61.1926268,-41.0623149,-58.97,29.94,0.569,20534
2013-09-01T14:37:52,-61.1926271,-41.0623145,-58.91,29.95,0.569,20534.2
2013-09-01T14:37:52,-61.1926275,-41.0623142,-58.86,29.95,0.565,20589.8
2013-09-01T14:37:52,-61.1926278,-41.0623139,-58.8,29.96,0.561,20646.7
2013-09-01T14:37:52,-61.1926281,-41.0623135,-58.74,29.97,0.561,20644.8
2013-09-01T14:37:53,-61.1926285,-41.0623131,-58.68,29.98,0.563,20617.6
2013-09-01T14:37:53,-61.1926288,-41.0623126,-58.62,29.99,0.565,20591.2
2013-09-01T14:37:53,-61.1926291,-41.0623121,-58.56,30.01,0.568,20549.5
2013-09-01T14:37:53,-61.1926295,-41.0623116,-58.5,30.02,0.572,20474.4
2013-09-01T14:37:53,-61.1926298,-41.0623111,-58.44,30.04,0.572,20476.1
2013-09-01T14:37:53,-61.1926301,-41.0623106,-58.38,30.05,0.571,20502.4
2013-09-01T14:37:53,-61.1926305,-41.0623101,-58.32,30.07,0.568,20544.5
2013-09-01T14:37:53,-61.1926308,-41.0623096,-58.26,30.08,0.564,20605.6
2013-09-01T14:37:53,-61.1926311,-41.0623091,-58.2,30.1,0.567,20556.9
2013-09-01T14:37:53,-61.1926315,-41.0623086,-58.14,30.12,0.563,20611.2
2013-09-01T14:37:54,-61.1926318,-41.0623083,-58.08,30.12,0.565,20594.5
2013-09-01T14:37:54,-61.1926321,-41.0623083,-58.03,30.11,0.567,20556.2
2013-09-01T14:37:54,-61.1926325,-41.0623083,-57.97,30.1,0.569,20527.8
2013-09-01T14:37:54,-61.1926328,-41.0623083,-57.92,30.09,0.57,20516.9
2013-09-01T14:37:54,-61.1926331,-41.0623083,-57.87,30.08,0.568,20548.5
2013-09-01T14:37:54,-61.1926335,-41.0623083,-57.81,30.07,0.566,20580.3
2013-09-01T14:37:54,-61.1926338,-41.0623083,-57.76,30.06,0.566,20575.5
2013-09-01T14:37:54,-61.1926341,-41.0623083,-57.7,30.05,0.568,20549.1
2013-09-01T14:37:54,-61.1926345,-41.0623083,-57.65,30.04,0.568,20536.4
2013-09-01T14:37:54,-61.1926348,-41.0623083,-57.6,30.02,0.57,20515.3
2013-09-01T14:37:55,-61.1926349,-41.0623082,-57.56,30.03,0.566,20566.9
2013-09-01T14:37:55,-61.1926348,-41.0623079,-57.56,30.05,0.565,20595.4
2013-09-01T14:37:55,-61.1926346,-41.0623075,-57.55,30.07,0.564,20603.5
2013-09-01T14:37:55,-61.1926344,-41.0623072,-57.55,30.09,0.565,20590.7
2013-09-01T14:37:55,-61.1926343,-41.0623069,-57.55,30.1,0.567,20551.7
2013-09-01T14:37:55,-61.1926341,-41.0623065,-57.54,30.13,0.571,20496.6
2013-09-01T14:37:55,-61.1926339,-41.0623062,-57.54,30.14,0.571,20497.9
2013-09-01T14:37:55,-61.1926338,-41.0623059,-57.53,30.16,0.571,20489.4
2013-09-01T14:37:55,-61.1926336,-41.0623055,-57.53,30.18,0.572,20480.8
2013-09-01T14:37:55,-61.1926334,-41.0623052,-57.53,30.2,0.566,20568.6
2013-09-01T14:37:56,-61.1926333,-41.0623049,-57.51,30.22,0.566,20573
2013-09-01T14:37:56,-61.1926333,-41.0623045,-57.49,30.24,0.57,20519.1
2013-09-01T14:37:56,-61.1926333,-41.0623042,-57.47,30.25,0.568,20547.5
2013-09-01T14:37:56,-61.1926333,-41.0623039,-57.45,30.27,0.567,20557.5
2013-09-01T14:37:56,-61.1926333,-41.0623035,-57.43,30.28,0.569,20525.8
2013-09-01T14:37:56,-61.1926333,-41.0623032,-57.4,30.3,0.567,20552.9
2013-09-01T14:37:56,-61.1926333,-41.0623029,-57.38,30.31,0.564,20606
2013-09-01T14:37:56,-61.1926333,-41.0623025,-57.36,30.33,0.564,20606.6
2013-09-01T14:37:56,-61.1926333,-41.0623022,-57.34,30.35,0.566,20574.3
2013-09-01T14:37:56,-61.1926333,-41.0623019,-57.32,30.36,0.566,20575.9
2013-09-01T14:37:57,-61.1926334,-41.0623015,-57.29,30.38,0.567,20560.9
2013-09-01T14:37:57,-61.1926336,-41.0623012,-57.25,30.39,0.567,20553.8
2013-09-01T14:37:57,-61.1926337,-41.0623009,-57.21,30.4,0.565,20589.4
2013-09-01T14:37:57,-61.1926339,-41.0623005,-57.17,30.41,0.568,20536.1
2013-09-01T14:37:57,-61.1926341,-41.0623002,-57.13,30.42,0.567,20556.6
2013-09-01T14:37:57,-61.1926342,-41.0622999,-57.09,30.43,0.564,20608.1
2013-09-01T14:37:57,-61.1926344,-41.0622995,-57.05,30.44,0.565,20589.8
2013-09-01T14:37:57,-61.1926346,-41.0622992,-57.01,30.45,0.565,20587.4
2013-09-01T14:37:57,-61.1926347,-41.0622989,-56.97,30.46,0.567,20557.3
2013-09-01T14:37:57,-61.1926349,-41.0622985,-56.93,30.48,0.565,20587.5
2013-09-01T14:37:58,-61.1926349,-41.0622982,-56.9,30.49,0.561,20645.3
2013-09-01T14:37:58,-61.1926348,-41.0622979,-56.9,30.51,0.569,20533
2013-09-01T14:37:58,-61.1926346,-41.0622975,-56.89,30.53,0.568,20547.2
2013-09-01T14:37:58,-61.1926344,-41.0622972,-56.89,30.55,0.567,20561.9
2013-09-01T14:37:58,-61.1926343,-41.0622969,-56.88,30.57,0.564,20609.1
2013-09-01T14:37:58,-61.1926341,-41.0622965,-56.88,30.59,0.57,20516
2013-09-01T14:37:58,-61.1926339,-41.0622962,-56.88,30.61,0.572,20481.6
2013-09-01T14:37:58,-61.1926338,-41.0622959,-56.87,30.63,0.566,20575.9
2013-09-01T14:37:58,-61.1926336,-41.0622955,-56.87,30.65,0.566,20572.3
2013-09-01T14:37:58,-61.1926334,-41.0622952,-56.86,30.67,0.57,20510.9
2013-09-01T14:37:59,-61.1926332,-41.0622947,-56.87,30.7,0.57,20517.9
2013-09-01T14:37:59,-61.1926329,-41.0622941,-56.88,30.74,0.566,20575.7
2013-09-01T14:37:59,-61.1926325,-41.0622934,-56.89,30.78,0.569,20522.7
2013-09-01T14:37:59,-61.1926322,-41.0622927,-56.9,30.82,0.569,20532.8
2013-09-01T14:37:59,-61.1926319,-41.0622921,-56.91,30.86,0.568,20547.6
2013-09-01T14:37:59,-61.1926315,-41.0622914,-56.92,30.9,0.568,20536
2013-09-01T14:37:59,-61.1926312,-41.0622907,-56.93,30.95,0.567,20563
2013-09-01T14:37:59,-61.1926309,-41.0622901,-56.93,30.99,0.568,20542.9
2013-09-01T14:37:59,-61.1926305,-41.0622894,-56.95,31.03,0.568,20538.9
2013-09-01T14:37:59,-61.1926302,-41.0622887,-56.96,31.07,0.565,20586.6
2013-09-01T14:38:00,-61.19263,-41.0622882,-56.95,31.1,0.559,20679.8
2013-09-01T14:38:00,-61.19263,-41.0622879,-56.93,31.12,0.562,20634.8
2013-09-01T14:38:00,-61.19263,-41.0622875,-56.91,31.13,0.569,20521.5
2013-09-01T14:38:00,-61.19263,-41.0622872,-56.89,31.15,0.567,20561.1
2013-09-01T14:38:00,-61.19263,-41.0622869,-56.87,31.17,0.564,20600.1
2013-09-01T14:38:00,-61.19263,-41.0622865,-56.85,31.18,0.565,20582.4
2013-09-01T14:38:00,-61.19263,-41.0622862,-56.83,31.2,0.567,20553.7
2013-09-01T14:38:00,-61.19263,-41.0622859,-56.81,31.22,0.565,20582.4
2013-09-01T14:38:00,-61.19263,-41.0622855,-56.79,31.23,0.568,20549.1
