Date Time,Latitude,Longitude,Snow Height Sensor 1,Snow Height Sensor 2,Snow Height Sensor 3,Snow Height Sensor 4,Snow Height Mean,Atmospheric Pressure,Air Temperature,Ice Temperature
2015-03-01T14:00,82.948,26.4312,,,,,,1007.9,-22.2,-8.6
2015-03-01T15:00,82.9498,26.4148,,,,,,1008,-22.2,-8.1
2015-03-01T16:00,82.9512,26.396,,,,,,1008.3,-22.5,-7.7
2015-03-01T17:00,82.9526,26.3756,,,,,,1008.3,-22.6,-7.6
2015-03-01T18:00,82.9534,26.3528,0.38,0.36,0.39,0.364,0.374,1008.7,-21.8,-7.5
2015-03-01T19:00,82.9544,26.3288,0.38,0.36,0.39,0.354,0.371,1008.8,-22.3,-7.5
2015-03-01T20:00,82.9552,26.3036,0.38,0.36,0.38,0.364,0.371,1008.9,-22.6,-7.5
2015-03-01T21:00,82.956,26.278,0.38,0.36,0.38,0.354,0.369,1009.6,-23.1,-7.5
2015-03-01T22:00,82.9568,26.2514,0.38,0.36,,0.364,0.368,1009.6,-23.2,-7.5
2015-03-01T23:00,82.9576,26.2246,0.38,0.36,,0.364,0.368,1009.7,-23,-7.5
2015-03-02T00:00,82.9586,26.1982,0.37,0.36,,0.364,0.365,1010,-23.1,-7.5
2015-03-02T01:00,82.9594,26.1732,,0.36,,0.354,0.357,1010.2,-23,-7.5
2015-03-02T02:00,82.9604,26.1486,0.37,,,0.354,0.362,1010.7,-23.4,-7.5
2015-03-02T03:00,82.9614,26.1238,0.4,,,,0.4,1010.8,-23.4,-7.5
2015-03-02T04:02,82.9622,26.0964,,,,,,1011.2,-23.2,-7.5
2015-03-02T05:00,82.963,26.0686,,,,0.344,0.344,1011.4,-23.5,-7.5
2015-03-02T06:00,82.9638,26.0404,,,,,,1011.9,-23.3,-7.5
2015-03-02T07:00,82.9648,26.0118,,,,0.344,0.344,1012,-23.4,-7.5
2015-03-02T08:01,82.9658,25.9798,,,,,,1012.1,-22.8,-7.5
2015-03-02T09:01,82.9668,25.9468,,,,,,1012.4,-22.9,-7.5
2015-03-02T10:01,82.9682,25.914,,,,0.364,0.364,1012.7,-20.9,-7.5
2015-03-02T11:01,82.9696,25.8836,,,,0.354,0.354,1013,-19.8,-7.5
2015-03-02T12:01,82.9716,25.8526,,,,0.354,0.354,1013.2,-19.6,-7.4
2015-03-02T13:01,82.9736,25.8244,,,,,,1013.3,-19.3,-7.4
2015-03-02T14:01,82.9756,25.7978,,,,,,1013.5,-19.5,-7.4
2015-03-02T15:01,82.9772,25.7696,,,,,,1013.4,-19.7,-7.4
2015-03-02T16:01,82.9792,25.7374,0.37,,,,0.37,1013.3,-19.5,-7.4
2015-03-02T17:00,82.9814,25.701,0.39,,,0.344,0.367,1013.8,-18.1,-7.3
2015-03-02T18:00,82.9842,25.6588,,,,,,1013.7,-18.2,-7.3
2015-03-02T19:01,82.9866,25.614,,,,,,1013.6,-16.8,-7.3
2015-03-02T20:01,82.9892,25.5656,,0.37,,0.324,0.347,1013.9,-16.9,-7.3
2015-03-02T21:01,82.9916,25.5196,,,,0.354,0.354,1013.8,-16.9,-7.2
2015-03-02T22:01,82.994,25.4706,0.39,,,0.334,0.362,1013.6,-17.4,-7.2
2015-03-02T23:01,82.9958,25.423,0.38,,,,0.38,1013.2,-17.7,-7.2
2015-03-03T00:01,82.9986,25.3708,0.39,0.35,,,0.37,1012.8,-16.8,-7.2
2015-03-03T01:00,83.0006,25.3196,0.4,,,0.354,0.377,1012.3,-16.3,-7.1
2015-03-03T02:01,83.003,25.2652,0.38,,0.41,0.354,0.381,1011.9,-16.2,-7.1
2015-03-03T03:00,83.0056,25.2106,0.4,0.36,0.41,0.354,0.381,1011.5,-15.5,-7.1
2015-03-03T04:00,83.009,25.1488,0.39,,,0.354,0.372,1010.6,-15,-7
2015-03-03T05:00,83.0122,25.0868,0.4,0.37,0.39,0.374,0.384,1009.7,-14.4,-7
2015-03-03T06:00,83.016,25.02,0.39,0.36,0.39,0.344,0.371,1009.1,-13.8,-7
2015-03-03T07:00,83.0208,24.948,0.39,,0.4,0.354,0.381,1008.8,-12.8,-6.9
2015-03-03T08:00,83.026,24.8808,0.39,0.34,0.4,0.364,0.374,1008.2,-11.8,-6.9
2015-03-03T09:00,83.0322,24.8038,0.36,0.34,0.39,0.354,0.361,1007.4,-11.1,-6.9
2015-03-03T10:00,83.0384,24.7332,0.39,0.35,0.39,0.354,0.371,1006.8,-10.8,-6.8
2015-03-03T11:00,83.0448,24.6664,0.38,0.35,0.39,0.344,0.366,1006.1,-10.7,-6.8
2015-03-03T12:00,83.052,24.6032,0.37,0.33,0.38,0.344,0.356,1005.5,-10.6,-6.7
2015-03-03T13:00,83.0596,24.5408,,0.34,0.4,0.354,0.365,1005,-10.3,-6.7
2015-03-03T14:00,83.0672,24.485,,,0.39,0.344,0.367,1004.4,-10.1,-6.7
2015-03-03T15:00,83.0746,24.4364,0.35,,0.39,0.354,0.365,1003.7,-9.6,-6.6
2015-03-03T16:00,83.082,24.3904,,0.33,0.39,0.354,0.358,1003.4,-9,-6.6
2015-03-03T17:00,83.0892,24.3422,0.37,0.33,0.4,0.354,0.364,1003,-8.8,-6.5
2015-03-03T18:00,83.0954,24.3,0.34,0.33,0.4,0.354,0.356,1002.7,-8.3,-6.5
